Payment_ID,Invoice_ID,Student_ID,Payment_Date,Payment_Method,Amount_Paid,Transaction_Reference,Payment_Status,Payment_Date_DT
PAY0000043,INV0002190,STU000105,2028-11-03,E-Wallet,15711000,TXN-08314703PZ,Successful,2028-11-03
PAY0000044,INV0002100,STU000278,2022-10-30,Bank Transfer,12812000,TXN-94130599NW,Successful,2022-10-30
PAY0000045,INV0000257,STU000557,2022-07-10,Cash,5763000,TXN-54324640ZV,Successful,2022-07-10
PAY0000046,INV0001684,STU000719,2023-02-28,Card,9197000,TXN-43491017SA,Successful,2023-02-28
PAY0000047,INV0000817,STU000440,2024-07-31,Bank Transfer,14023000,TXN-31448377VV,Successful,2024-07-31
PAY0000048,INV0001945,STU000868,2025-10-14,Cash,7544000,TXN-38929729PX,Successful,2025-10-14
PAY0000049,INV0002963,STU001372,2025-08-19,Cash,7006000,TXN-44871919ST,Successful,2025-08-19
PAY0000050,INV0002128,STU001105,2023-02-02,Cash,10907000,TXN-87548703AG,Successful,2023-02-02
PAY0000051,INV0002697,STU001041,2025-10-01,E-Wallet,14779000,TXN-44207358CW,Successful,2025-10-01
PAY0000052,INV0001439,STU001293,2021-01-24,Cash,12157000,TXN-83619371ZP,Successful,
PAY0000053,INV0002304,STU000651,2025-09-18,E-Wallet,7178000,TXN-81722773NF,Successful,2022-09-13
PAY0000054,INV0000273,STU001474,2021-09-09,Card,18880000,TXN-93761245LM,Successful,2021-09-09
PAY0000055,INV0001872,STU000113,2021-07-26,E-Wallet,24035000,TXN-74854213QB,Successful,2021-07-26
PAY0000056,INV0000453,STU001086,2025-03-03,Card,4712000,TXN-14761726SN,Successful,2025-03-03
PAY0000057,INV0001333,STU000644,2025-05-04,Bank Transfer,30915000,TXN-76956506FP,Successful,2025-05-04
PAY0000058,INV0002277,STU000463,2027-10-07,E-Wallet,9543000,TXN-77406372HO,Successful,2027-10-07
PAY0000059,INV0001570,STU000036,2021-08-23,Card,14890000,TXN-46464068BT,Successful,2021-08-23
PAY0000060,INV0001427,STU000707,2025-10-25,Cash,5942000,TXN-31506072UZ,Successful,2025-10-25
PAY0000061,INV0000657,STU000495,2027-07-14,Cash,12192000,TXN-99147287ND,Successful,2027-07-14
PAY0000062,INV0001220,STU000906,2023-01-15,Cash,14173000,TXN-60074749RX,Successful,2023-01-15
PAY0000063,INV0000377,STU000918,2027-11-12,Cash,7193000,TXN-43229003EH,Failed,2027-11-12
PAY0000064,INV0002731,STU000134,2024-05-21,E-Wallet,9318000,TXN-69144092YN,Successful,2024-05-21
PAY0000065,INV0000053,STU000851,2023-10-26,E-Wallet,12445000,TXN-90119812OX,Successful,2023-10-26
PAY0000066,INV0002705,STU000734,2025-10-13,Card,3604000,TXN-57892961SY,Successful,2025-10-13
PAY0000067,INV0001314,STU001235,2023-11-21,Bank Transfer,15454000,TXN-30536588XG,Successful,2023-11-21
PAY0000068,INV0001861,STU000771,2024-08-08,Card,20749000,TXN-98521034HM,Successful,2024-08-08
PAY0000069,INV0002367,STU000142,2026-03-03,Cash,13620000,TXN-49206705NL,Successful,2026-03-03
PAY0000070,INV0002900,STU000605,2024-07-22,Bank Transfer,15001000,TXN-95254580VA,Successful,2024-07-22
PAY0000071,INV0002792,STU001197,2026-10-06,Bank Transfer,5930000,TXN-69090890HE,Successful,2026-10-06
PAY0000072,INV0001752,STU000414,2025-09-05,Bank Transfer,21985000,TXN-46915986NQ,Failed,2025-09-05
PAY0000073,INV0002965,STU001447,2022-07-18,E-Wallet,18307000,TXN-28272513YS,Successful,2022-07-18
PAY0000074,INV0001402,STU000035,2026-03-09,Card,13188000,TXN-46452116JW,Successful,2026-03-09
PAY0000075,INV0000386,STU000229,2025-09-03,Card,9230000,TXN-68921557AA,Successful,2025-09-03
PAY0000076,INV0000080,STU001404,2028-01-13,Bank Transfer,25911000,TXN-60671722RB,Successful,2028-01-13
PAY0000077,INV0002892,STU001213,2025-10-15,Cash,17975000,TXN-62848170CI,Successful,2025-10-15
PAY0000078,INV0002483,STU000238,2022-06-18,Card,27853000,TXN-33364774SU,Successful,2022-06-18
PAY0000079,INV0000956,STU000355,2026-11-03,E-Wallet,4548000,TXN-54743504JC,Failed,2026-11-03
PAY0000080,INV0000601,STU000608,2024-12-10,E-Wallet,18240000,TXN-57645453VL,Successful,2024-12-10
PAY0000081,INV0001271,STU001297,2024-08-24,Bank Transfer,8029000,TXN-50286644MK,Successful,2024-08-24
PAY0000082,INV0001364,STU000194,2026-06-26,Cash,9838000,TXN-85998466HC,Successful,2026-06-26
PAY0000083,INV0000115,STU000400,2025-11-24,Cash,19294000,TXN-47736202AR,Successful,2025-11-24
PAY0000084,INV0000943,STU000372,2028-11-05,Cash,7572000,TXN-55964363VN,Successful,2028-11-05
PAY0000085,INV0002881,STU000232,2025-07-11,E-Wallet,32560000,TXN-20938045OY,Successful,2025-07-11
PAY0000086,INV0000855,STU000206,2022-12-05,Cash,6223000,TXN-03283334UK,Successful,2022-12-05
PAY0000087,INV0001789,STU000883,2026-05-10,E-Wallet,18725000,TXN-24594446KA,Successful,2026-05-10
PAY0000088,INV0001853,STU001134,2025-12-01,E-Wallet,4586000,TXN-63797460NO,Failed,2025-12-01
PAY0000089,INV0001230,STU000788,2026-05-18,Cash,22626000,TXN-22115066IC,Successful,2026-05-18
PAY0000090,INV0000380,STU000077,2026-06-16,Card,4907000,TXN-63800784YV,Successful,2026-06-16
PAY0000091,INV0000442,STU000139,2024-01-13,Bank Transfer,18405000,TXN-24331371SX,Successful,2024-01-13
PAY0000092,INV0001619,STU000152,2024-06-16,Cash,11765000,TXN-81981455AM,Pending,2024-06-16
PAY0000093,INV0000549,STU000047,2022-08-01,Cash,19510000,TXN-45021948LE,Successful,2022-08-01
PAY0000094,INV0002783,STU001011,2025-12-12,Bank Transfer,15781000,TXN-60633420SV,Successful,2025-12-12
PAY0000095,INV0001746,STU000514,2028-02-12,Bank Transfer,14373000,TXN-36350005UH,Successful,2028-02-12
PAY0000096,INV0000330,STU000903,2027-02-16,E-Wallet,5606000,TXN-75757908MB,Successful,2027-02-16
PAY0000097,INV0000430,STU001375,2027-06-22,Card,7481000,TXN-30159079VI,Successful,2027-06-22
PAY0000098,INV0000380,STU000077,2026-07-06,Card,8016000,TXN-18281640SW,Pending,2026-07-06
PAY0000099,INV0001372,STU000687,2024-01-01,Card,3112000,TXN-66052074FY,Successful,2024-01-01
PAY0000100,INV0001428,STU000969,2025-09-09,Bank Transfer,4645000,TXN-66592713YV,Failed,2025-09-09
PAY0000101,INV0001798,STU000499,2022-11-26,Card,30853000,TXN-25336901SD,Successful,2022-11-26
PAY0000102,INV0000095,STU000060,2023-07-01,Bank Transfer,8001000,TXN-63875075QY,Successful,2023-07-01
PAY0000103,INV0001918,STU000036,2022-12-14,Bank Transfer,6314000,TXN-88937023OW,Pending,2022-12-14
PAY0000104,INV0001001,STU000498,2021-01-24,Card,12132000,TXN-11082579OX,Successful,2021-01-24
PAY0000105,INV0002044,STU001204,2023-03-03,Bank Transfer,7312000,TXN-55261223EY,Successful,2023-03-03
PAY0000106,INV0000379,STU001022,2029-02-24,Bank Transfer,25131000,TXN-78292934YC,Successful,2029-02-24
PAY0000107,INV0000995,STU001425,2023-07-06,E-Wallet,6457000,TXN-05393045UQ,Failed,2023-07-06
PAY0000108,INV0001957,STU001211,2025-02-05,Cash,7442000,TXN-87867592AQ,Successful,2025-02-05
PAY0000109,INV0002460,STU001162,2021-01-11,Cash,5645000,TXN-38952868OY,Successful,2021-01-11
PAY0000110,INV0002018,STU000143,2027-12-11,Card,8738000,TXN-93336516SB,Successful,2027-12-11
PAY0000111,INV0002930,STU000437,2024-11-02,Bank Transfer,14665000,TXN-41177616RT,Successful,2024-11-02
PAY0000112,INV0001664,STU000761,2022-01-27,Bank Transfer,23089000,TXN-54260477YN,Successful,2022-01-27
PAY0000113,INV0001201,STU000548,2027-10-10,Card,8018000,TXN-40107122SK,Successful,2027-10-10
PAY0000114,INV0001557,STU001050,2022-08-10,E-Wallet,7063000,TXN-01044574GO,Failed,2022-08-10
PAY0000115,INV0002694,STU001350,2026-10-06,Bank Transfer,4399000,TXN-02174333OM,Successful,2026-10-06
PAY0000116,INV0001194,STU001170,2022-08-03,E-Wallet,6216000,TXN-99728527DL,Successful,2022-08-03
PAY0000117,INV0001329,STU000340,2025-12-02,Bank Transfer,11472000,TXN-09612540SW,Successful,2025-12-02
PAY0000118,INV0002389,STU000340,2026-04-05,Card,8756000,TXN-68915118WW,Successful,2026-04-05
PAY0000119,INV0002416,STU001029,2025-12-24,E-Wallet,28333000,TXN-33303763WD,Successful,2025-12-24
PAY0000120,INV0000603,STU000056,2026-04-22,E-Wallet,6810000,TXN-16092853WF,Pending,2026-04-22
PAY0000121,INV0000460,STU000747,2027-08-18,Bank Transfer,26458000,TXN-70305989LZ,Successful,2027-08-18
PAY0000122,INV0001576,STU001117,2024-08-05,E-Wallet,13176000,TXN-01512755FD,Successful,2024-08-05
PAY0000123,INV0002273,STU000855,2020-08-03,Card,3690000,TXN-35059576IY,Successful,2020-08-03
PAY0000124,INV0001712,STU000095,2025-06-12,E-Wallet,8929000,TXN-61361060BE,Successful,2025-06-12
PAY0000125,INV0001563,STU001206,2025-09-21,Card,23097000,TXN-99610252KA,Successful,2025-09-21
PAY0000126,INV0001267,STU000387,2024-05-24,Bank Transfer,75029000,TXN-60164929EV,Successful,2024-05-24
PAY0000127,INV0001313,STU000053,2024-06-24,Card,7351000,TXN-07215658JP,Successful,2024-06-24
PAY0000128,INV0002735,STU000304,2027-01-16,Bank Transfer,19218000,TXN-85517138DJ,Successful,2027-01-16
PAY0000129,INV0000194,STU000527,2022-05-25,Bank Transfer,18398000,TXN-54731930TU,Successful,2022-05-25
PAY0000130,INV0001189,STU000766,2024-12-26,Card,28832000,TXN-14388998NT,Successful,2024-12-26
PAY0000131,INV0001650,STU000045,2027-11-16,Bank Transfer,10084000,TXN-51328678YN,Successful,2027-11-16
PAY0000132,INV0002493,STU000491,2024-03-18,Bank Transfer,13095000,TXN-86885243VF,Successful,2024-03-18
PAY0000133,INV0000582,STU000742,2022-08-06,E-Wallet,19551000,TXN-61807817XU,Successful,2022-08-06
PAY0000134,INV0000303,STU000618,2026-04-23,Cash,16770000,TXN-59376748PA,Successful,2026-04-23
PAY0000135,INV0001217,STU000094,2025-06-26,E-Wallet,22727000,TXN-48452688FE,Failed,2025-06-26
PAY0000136,INV0002040,STU000386,2021-09-23,E-Wallet,12259000,TXN-35048735LB,Successful,2021-09-23
PAY0000137,INV0002247,STU001035,2026-10-20,E-Wallet,13662000,TXN-94020338NY,Failed,2026-10-20
PAY0000138,INV0002598,STU000631,2021-05-30,Card,7430000,TXN-00424429RE,Successful,2021-05-30
PAY0000139,INV0002554,STU000676,2022-06-26,Cash,4879000,TXN-64486685UQ,Successful,2022-06-26
PAY0000140,INV0000087,STU000791,2027-03-16,Cash,4541000,TXN-48123817MB,Successful,2027-03-16
PAY0000141,INV0001861,STU000771,2024-06-02,Card,16639000,TXN-47667433AT,Successful,2024-06-02
PAY0000142,INV0000981,STU000602,2028-07-06,Cash,7630000,TXN-16365903HX,Successful,2028-07-06
PAY0000143,INV0000396,STU001365,2026-04-04,Cash,57028000,TXN-76952366PN,Successful,2026-04-04
PAY0000144,INV0002203,STU000448,2022-05-01,E-Wallet,17253000,TXN-51470201BU,Successful,2022-05-01
PAY0000145,INV0000848,STU000249,2028-04-17,Bank Transfer,3509000,TXN-53416084UD,Successful,2028-04-17
PAY0000146,INV0002838,STU000929,2024-04-30,Cash,9923000,TXN-16024236IU,Successful,2024-04-30
PAY0000147,INV0000012,STU000976,2029-12-18,Cash,19042000,TXN-31476640EB,Successful,2029-12-18
PAY0000148,INV0001654,STU000269,2026-06-19,Cash,5898000,TXN-37779425WD,Successful,2026-06-19
PAY0000149,INV0001540,STU000704,2021-08-07,E-Wallet,4131000,TXN-99949956YO,Pending,2021-08-07
PAY0000150,INV0001295,STU000697,2024-07-14,Bank Transfer,6486000,TXN-01508580AR,Successful,2024-07-14
PAY0000151,INV0001772,STU000986,2022-09-10,Cash,7953000,TXN-57718203CL,Successful,2022-09-10
PAY0000152,INV0000722,STU000735,2028-02-19,E-Wallet,15108000,TXN-17841788DD,Reversed,2028-02-19
PAY0000153,INV0002290,STU000514,2026-06-25,Cash,19838000,TXN-97080046NH,Successful,2026-06-25
PAY0000154,INV0000367,STU000433,2025-05-02,Cash,15801000,TXN-05670172YX,Failed,2025-05-02
PAY0000155,INV0002256,STU000329,2029-05-27,E-Wallet,8364000,TXN-80573418BX,Successful,2029-05-27
PAY0000156,INV0002832,STU000146,2025-01-10,Bank Transfer,7809000,TXN-76837059OB,Successful,2025-01-10
PAY0000157,INV0001621,STU000652,2026-06-16,Bank Transfer,10412000,TXN-50953008CJ,Successful,2026-06-16
PAY0000158,INV0001240,STU001143,2027-03-05,E-Wallet,5531000,TXN-98882809QS,Successful,2027-03-05
PAY0000159,INV0002106,STU000512,2027-07-16,Cash,7544000,TXN-17823689FR,Successful,2027-07-16
PAY0000160,INV0000374,STU000452,2023-04-18,E-Wallet,9309000,TXN-92816043XW,Pending,2023-04-18
PAY0000161,INV0001130,STU000680,2024-01-06,Cash,16726000,TXN-61556455QM,Successful,2024-01-06
PAY0000162,INV0000272,STU000043,2021-06-28,Bank Transfer,4516000,TXN-73366679FJ,Successful,2021-06-28
PAY0000163,INV0002386,STU000962,2023-02-27,Bank Transfer,10867000,TXN-97584486WM,Successful,2023-02-27
PAY0000164,INV0000057,STU000393,2027-03-15,Cash,8842000,TXN-95203957KR,Successful,2027-03-15
PAY0000165,INV0002083,STU001016,2025-06-05,Bank Transfer,3415000,TXN-12258646AV,Successful,2025-06-05
PAY0000166,INV0000076,STU000950,2023-06-18,Card,20833000,TXN-21430722KT,Failed,2023-06-18
PAY0000167,INV0001314,STU001235,2023-10-02,Card,7364000,TXN-25957162AX,Successful,2023-10-02
PAY0000168,INV0000167,STU000143,2025-11-20,Cash,2297000,TXN-81110165PS,Successful,2025-11-20
PAY0000169,INV0000291,STU000440,2025-06-21,Bank Transfer,14597000,TXN-65797206HV,Failed,2025-06-21
PAY0000170,INV0002202,STU001410,2023-04-14,Cash,25956000,TXN-12422637TO,Successful,2023-04-14
PAY0000171,INV0000782,STU000990,2030-02-25,Cash,28896000,TXN-09834788VH,Successful,2030-02-25
PAY0000172,INV0001266,STU000311,2024-03-19,E-Wallet,6140000,TXN-78545990BV,Pending,2024-03-19
PAY0000173,INV0001453,STU001085,2026-07-31,E-Wallet,10838000,TXN-12992604HJ,Successful,2026-07-31
PAY0000174,INV0002186,STU001168,2025-04-05,Card,9230000,TXN-26458861NU,Successful,2025-04-05
PAY0000175,INV0002568,STU000110,2020-09-04,E-Wallet,24385000,TXN-53543337QA,Successful,2020-09-04
PAY0000176,INV0002362,STU001377,2026-01-27,Bank Transfer,17857000,TXN-30478367XL,Successful,2026-01-27
PAY0000177,INV0001366,STU001360,2023-08-07,Bank Transfer,5265000,TXN-66758197HT,Successful,2023-08-07
PAY0000178,INV0001602,STU000053,2021-08-14,Cash,3556000,TXN-15088294WP,Successful,2021-08-14
PAY0000179,INV0000026,STU000942,2021-01-01,Card,13176000,TXN-44053722EI,Successful,2021-01-01
PAY0000180,INV0001260,STU000574,2023-08-07,Bank Transfer,5406000,TXN-64971846CJ,Successful,2023-08-07
PAY0000181,INV0002492,STU001044,2025-10-23,Card,24461000,TXN-22308692GU,Successful,2025-10-23
PAY0000182,INV0000757,STU000871,2028-11-23,Card,9742000,TXN-92838987LD,Successful,2028-11-23
PAY0000183,INV0000271,STU000803,2023-12-12,Card,11600000,TXN-11713999JS,Successful,2023-12-12
PAY0000184,INV0001962,STU001349,2024-03-20,E-Wallet,16926000,TXN-83454312OG,Successful,2024-03-20
PAY0000185,INV0002831,STU000810,2022-09-09,Cash,11848000,TXN-12422453RL,Successful,2022-09-09
PAY0000186,INV0002033,STU000451,2022-11-01,Cash,26086000,TXN-41668356IZ,Successful,2022-11-01
PAY0000187,INV0001493,STU000878,2028-02-28,Card,2966000,TXN-30106014DS,Successful,2028-02-28
PAY0000188,INV0002676,STU000754,2026-03-28,Bank Transfer,13853000,TXN-06471540RV,Failed,2026-03-28
PAY0000189,INV0001271,STU001297,2024-05-25,E-Wallet,6474000,TXN-44513218LT,Pending,
PAY0000190,INV0001677,STU000514,2030-01-18,Card,15046000,TXN-28748093RX,Failed,2030-01-18
PAY0000191,INV0000819,STU000210,2020-07-03,Bank Transfer,5933000,TXN-46320298BA,Successful,2020-07-03
PAY0000192,INV0000086,STU001063,2026-06-11,Cash,14237000,TXN-17065579DA,Successful,2026-06-11
PAY0000193,INV0000015,STU000425,2021-04-12,E-Wallet,5805000,TXN-36809736HO,Successful,2021-04-12
PAY0000194,INV0000769,STU001275,2023-07-31,Cash,16129000,TXN-63041133CS,Successful,2023-07-31
PAY0000195,INV0000576,STU000028,2028-01-09,Card,20083000,TXN-50168593CX,Failed,2028-01-09
PAY0000196,INV0000149,STU001182,2028-04-22,E-Wallet,12657000,TXN-26281748WJ,Successful,2028-04-22
PAY0000197,INV0002056,STU000362,2028-02-21,E-Wallet,8780000,TXN-99119087KL,Successful,2028-02-21
PAY0000198,INV0000785,STU000502,2025-05-19,E-Wallet,24560000,TXN-60745460VT,Successful,2025-05-19
PAY0000199,INV0001651,STU001184,2026-06-04,Card,8735000,TXN-70179557JJ,Successful,2026-06-04
PAY0000200,INV0000318,STU000343,2022-02-20,Card,27103000,TXN-84270488ID,Successful,2022-02-20
PAY0000201,INV0001789,STU000883,2026-05-07,E-Wallet,23984000,TXN-40052423DL,Successful,2026-05-07
PAY0000202,INV0001351,STU000908,2024-01-08,Card,15351000,TXN-42173521TJ,Successful,2024-01-08
PAY0000203,INV0002033,STU000451,2022-10-29,E-Wallet,16539000,TXN-30397968FC,Successful,2022-10-29
PAY0000204,INV0001488,STU001218,2024-12-22,E-Wallet,11033000,TXN-45192760TI,Successful,2024-12-22
PAY0000205,INV0002135,STU000186,2027-12-13,Cash,16177000,TXN-39382238KU,Successful,2027-12-13
PAY0000206,INV0000253,STU000330,2022-09-25,Bank Transfer,6835000,TXN-48208783BP,Successful,2022-09-25
PAY0000207,INV0002182,STU000313,2021-04-06,Card,4303000,TXN-64474121IN,Successful,2021-04-06
PAY0000208,INV0000617,STU000064,2025-12-28,Card,14938000,TXN-32943395RF,Successful,2025-12-28
PAY0000209,INV0002013,STU000317,2021-06-23,Card,12131000,TXN-29994449HF,Successful,2021-06-23
PAY0000210,INV0000641,STU001388,2026-07-03,E-Wallet,22424000,TXN-57592458RL,Successful,2026-07-03
PAY0000211,INV0001653,STU000911,2029-09-14,Cash,7618000,TXN-69969401LC,Successful,2029-09-14
PAY0000212,INV0002233,STU001351,2023-11-26,E-Wallet,21470000,TXN-42646986HY,Failed,2023-11-26
PAY0000213,INV0001960,STU000702,2023-05-17,Cash,13734000,TXN-38281345OP,Reversed,2023-05-17
PAY0000214,INV0002754,STU001099,2027-05-23,Bank Transfer,9710000,TXN-47669066PX,Successful,2027-05-23
PAY0000215,INV0002073,STU000513,2024-08-08,Bank Transfer,12512000,TXN-64068589AN,Successful,2024-08-08
PAY0000216,INV0002478,STU000914,2026-05-16,Bank Transfer,20350000,TXN-28976814VG,Successful,2026-05-16
PAY0000217,INV0001786,STU000019,2027-09-04,Card,26643000,TXN-11526950IB,Successful,2027-09-04
PAY0000218,INV0002902,STU000842,2022-03-14,Card,7859000,TXN-20945784EC,Successful,2022-03-14
PAY0000219,INV0002511,STU000613,2025-10-22,Card,10946000,TXN-93509369OD,Successful,
PAY0000220,INV0000770,STU000953,2026-06-09,Bank Transfer,8704000,TXN-21805382VD,Successful,2026-06-09
PAY0000221,INV0001859,STU000126,2024-11-26,Bank Transfer,5735000,TXN-29048361DC,Pending,2024-11-26
PAY0000222,INV0000010,STU000117,2025-07-06,E-Wallet,26598000,TXN-13540036HO,Successful,2025-07-06
PAY0000223,INV0001690,STU001280,2025-12-15,Card,3348000,TXN-61538155UH,Successful,2025-12-15
PAY0000224,INV0002009,STU000579,2022-05-04,Card,2756000,TXN-71228507ZB,Successful,2022-05-04
PAY0000225,INV0002865,STU001410,2024-09-01,Cash,8816000,TXN-74049316HM,Successful,2024-09-01
PAY0000226,INV0001387,STU000112,2024-07-11,Bank Transfer,4145000,TXN-54906609XA,Successful,2024-07-11
PAY0000227,INV0000476,STU001054,2026-12-08,Cash,14624000,TXN-25998464XV,Pending,2026-12-08
PAY0000228,INV0001507,STU000964,2026-01-21,Bank Transfer,13309000,TXN-00603630QS,Successful,2026-01-21
PAY0000229,INV0001900,STU000542,2024-07-15,Card,20371000,TXN-94145470GF,Successful,2024-07-15
PAY0000230,INV0001058,STU000904,2027-11-25,Card,4654000,TXN-78370358ZG,Successful,2027-03-30
PAY0000231,INV0001401,STU000016,2022-06-14,Cash,19449000,TXN-61346739DU,Successful,2022-06-14
PAY0000232,INV0001753,STU000618,2023-09-21,Card,5417000,TXN-64169987XT,Successful,2023-09-21
PAY0000233,INV0001973,STU000977,2023-05-18,Bank Transfer,13205000,TXN-84909606FW,Successful,2023-05-18
PAY0000234,INV0001728,STU001251,2022-03-31,Card,4214000,TXN-24809369HF,Successful,2022-03-31
PAY0000235,INV0002682,STU000198,2023-03-19,Bank Transfer,9068000,TXN-53289133UU,Successful,2023-03-19
PAY0000236,INV0000064,STU000260,2024-01-19,Cash,10190000,TXN-22218934DD,Successful,2024-01-19
PAY0000237,INV0000510,STU000105,2027-10-15,E-Wallet,21340000,TXN-94883364VE,Successful,2027-10-15
PAY0000238,INV0002615,STU000816,2022-02-20,Card,6311000,TXN-95982487VO,Successful,2022-02-20
PAY0000239,INV0001013,STU001331,2022-12-01,Card,6305000,TXN-30028989KK,Successful,2022-12-01
PAY0000240,INV0000376,STU000009,2024-03-08,E-Wallet,13830000,TXN-46247030GG,Successful,2024-03-08
PAY0000241,INV0000154,STU001194,2023-03-24,Bank Transfer,5071000,TXN-34244997OT,Successful,2023-03-24
PAY0000242,INV0002644,STU000945,2026-03-26,E-Wallet,22378000,TXN-67276947YI,Successful,2026-03-26
PAY0000243,INV0000916,STU000579,2025-03-23,E-Wallet,10420000,TXN-31387907RO,Successful,2025-03-23
PAY0000244,INV0001143,STU000514,2026-02-07,Bank Transfer,11503000,TXN-15132397WF,Successful,2026-02-07
PAY0000245,INV0001819,STU000235,2024-08-10,Card,9830000,TXN-47155621ID,Successful,2024-08-10
PAY0000246,INV0002921,STU000076,2022-06-15,Card,7330000,TXN-20547864YT,Pending,2022-06-15
PAY0000247,INV0002292,STU000729,2023-05-12,Cash,5482000,TXN-58265024VC,Successful,2023-05-12
PAY0000248,INV0002079,STU000835,2022-07-25,Card,24830000,TXN-83709982CS,Successful,2022-07-25
PAY0000249,INV0000737,STU001095,2024-10-22,Bank Transfer,12440000,TXN-43638663ZB,Successful,2024-10-22
