Expense_ID,Department_ID,Expense_Date,Expense_Category,Vendor_Name,Description,Amount,Approval_Status,Payment_Method
EXP0000014,DEP010,2024-01-17,Utilities,Bùi Công Ty Cổ Phần,Một điều khi nhưng các nào cái như.,86262000,Rejected,Corporate Card
EXP0000015,DEP018,2023-06-23,Utilities,Dương Và Bùi Công Ty Hợp Danh,Nào điều có đó tại.,24616000,Approved,Cash
EXP0000016,DEP017,2026-07-13,Research,Phạm Và Hoàng Công Ty Tnhh,Khi bên đó đúng hơn tại với.,169831000,Rejected,Cash
EXP0000017,DEP014,2026-03-15,Office Supplies,Nguyễn Công Ty Tnhh Mtv,Đó cũng hoặc tại tôi như trong.,26777000,Rejected,Cash
EXP0000018,DEP016,2023-08-06,Research,Mai Hoàng Công Ty Tnhh,Cách nơi từ cách của tại.,371103000,Rejected,Cash
EXP0000019,DEP010,2024-08-11,Research,Nguyễn Vũ Doanh Nghiệp Tư Nhân,Đang nào này hơn cho thì từ với như.,193465000,Pending,Cash
EXP0000020,DEP013,2025-01-07,Scholarship,Phạm Và Đối Tác Doanh Nghiệp Tư Nhân,Cũng khi các tại của thế như mà.,62464000,Approved,Corporate Card
EXP0000021,DEP020,2026-02-19,Maintenance,Hoàng Và Đối Tác Doanh Nghiệp Tư Nhân,Các này để vài.,70913000,Approved,Corporate Card
EXP0000022,DEP008,2024-01-02,Utilities,Phạm Và Mai Công Ty Trách Nhiệm Hữu Hạn,Số thế này tại người.,69997000,Pending,Corporate Card
EXP0000023,DEP016,2023-10-07,Equipment,Trần Mai Công Ty Trách Nhiệm Hữu Hạn,Với có như của tại đang chưa cho.,184821000,Rejected,Cash
EXP0000024,DEP007,2022-05-22,Marketing,Dương Và Nguyễn Tập Đoàn,Theo với hơn cũng tại hoặc.,5190000,Approved,Bank Transfer
EXP0000025,DEP009,2026-07-01,Utilities,Bùi Dương Tập Đoàn,Làm và có bên cũng tôi dưới.,53353000,Pending,Corporate Card
EXP0000026,DEP002,2024-04-22,Equipment,Phạm Và Phạm Công Ty Cổ Phần,Một tôi đó dưới nào bạn khiến sẽ bạn.,168088000,Pending,Cash
EXP0000027,DEP009,2022-02-04,Salary,Đặng Và Vũ Công Ty Hợp Danh,Tại nếu vì làm hơn hoặc.,553797000,Approved,Bank Transfer
EXP0000028,DEP014,2025-11-17,Marketing,Phạm Vũ Doanh Nghiệp Tư Nhân,Của thay vậy hơn hơn nếu thì bên mỗi.,187074000,Pending,Bank Transfer
EXP0000029,DEP012,2024-01-23,Salary,Trần Tập Đoàn,Và nếu một mà mà để tự có.,530454000,Pending,Cash
EXP0000030,DEP013,2025-06-10,Research,Hoàng Và Dương Công Ty Tnhh Mtv,Đó là làm vẫn dưới đến vì rất nào.,129639000,Rejected,Bank Transfer
EXP0000031,DEP012,2023-03-18,Marketing,Vũ Và Vũ Công Ty Hợp Danh,Vì từ như đi.,95409000,Rejected,Corporate Card
EXP0000032,DEP016,2026-06-22,Office Supplies,Mai Và Đối Tác Doanh Nghiệp Tư Nhân,Sau sẽ đúng nếu để gần.,25709000,Rejected,Corporate Card
EXP0000033,DEP005,2025-04-24,Marketing,Vũ Và Bùi Công Ty Hợp Danh,Trong bạn khi sẽ của nào và.,56952000,Approved,Bank Transfer
EXP0000034,DEP008,2026-02-17,Salary,Hoàng Nguyễn Công Ty Tnhh Mtv,Giống từ để hơn sau từng tại.,903630000,Pending,Bank Transfer
EXP0000035,DEP010,2026-07-18,Office Supplies,Dương Và Đối Tác Công Ty Hợp Danh,Vẫn điều tôi gần bên tôi.,16363000,Pending,Cash
EXP0000036,DEP002,2025-06-15,Office Supplies,Hoàng Dương Công Ty Cổ Phần,Để thì với nhiều nếu như theo.,6590000,Pending,Cash
EXP0000037,DEP018,2022-03-20,Equipment,Mai Vũ Công Ty Cổ Phần,Của đó có để hơn dưới nơi có được.,392922000,Approved,Cash
EXP0000038,DEP007,2024-07-28,Marketing,Mai Và Nguyễn Công Ty Tnhh,Làm nếu tự chưa như để tại về.,140444000,Rejected,Corporate Card
EXP0000039,DEP020,2026-02-06,Scholarship,Vũ Bùi Tập Đoàn,Đi bên tại của này hơn làm.,244497000,Pending,Corporate Card
EXP0000040,DEP012,2022-08-06,Equipment,Vũ Và Lê Công Ty Tnhh,Nếu là nếu vậy cũng với.,38441000,Rejected,Corporate Card
EXP0000041,DEP019,2022-03-27,Maintenance,Bùi Hoàng Công Ty Tnhh,Để sau giống nơi hoặc cái gần hơn giữa.,87852000,Approved,Bank Transfer
EXP0000042,DEP008,2026-01-31,Research,Dương Nguyễn Công Ty Trách Nhiệm Hữu Hạn,Cũng của thay như rất mỗi không như từng.,255210000,Pending,Corporate Card
EXP0000043,DEP005,2024-10-24,Utilities,Mai Nguyễn Tập Đoàn,Để như bên như tại thì.,19420000,Approved,Cash
EXP0000044,DEP001,2025-03-11,Equipment,Đặng Và Vũ Tập Đoàn,Của trong nhưng sẽ đến.,216090000,Rejected,Bank Transfer
EXP0000045,DEP005,2022-09-22,Research,Nguyễn Dương Tập Đoàn,Khi sau không cũng hơn.,80329000,Approved,Corporate Card
EXP0000046,DEP006,2024-05-11,Salary,Phạm Hoàng Công Ty Trách Nhiệm Hữu Hạn,Là vẫn cái đang là tại hoặc.,449353000,Rejected,Corporate Card
EXP0000047,DEP019,2025-10-15,Research,Bùi Đặng Tập Đoàn,Như về không với là.,21215000,Pending,Bank Transfer
EXP0000048,DEP005,2023-05-30,Research,Lê Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Theo và để thay có đang.,474569000,Pending,Corporate Card
EXP0000049,DEP004,2026-05-03,Research,Mai Bùi Công Ty Tnhh Mtv,Giống cách cái nơi chưa đó với để.,424007000,Approved,Cash
EXP0000050,DEP019,2022-04-16,Salary,Phạm Và Đối Tác Doanh Nghiệp Tư Nhân,Lớn này làm gần về của không số từ.,784750000,Rejected,Corporate Card
EXP0000051,DEP011,2023-07-04,Utilities,Lê Lê Công Ty Tnhh,Đã sau của vài này một cũng này mà.,81454000,Pending,Bank Transfer
EXP0000052,DEP012,2024-11-18,Utilities,Dương Mai Công Ty Hợp Danh,Như vậy khiến theo có tại dưới cách.,65681000,Pending,Corporate Card
EXP0000053,DEP008,2024-01-08,Office Supplies,Nguyễn Công Ty Hợp Danh,Chỉ với đang nào một như nhưng gần giữa.,21373000,Rejected,Corporate Card
EXP0000054,DEP011,2026-03-17,Maintenance,Vũ Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Bạn vì cho để như nhưng.,79809000,Rejected,Corporate Card
EXP0000055,DEP015,2024-11-26,Equipment,Đặng Và Vũ Tập Đoàn,Thế tại đến giữa có thế đi tại của.,298720000,Pending,Corporate Card
EXP0000056,DEP018,2022-04-25,Salary,Bùi Công Ty Tnhh,Dưới một sau chỉ từng cái thế.,734958000,Approved,Cash
EXP0000057,DEP005,2026-03-11,Equipment,Dương Và Đặng Công Ty Tnhh Mtv,Hơn tại người này với.,160279000,Pending,Bank Transfer
EXP0000058,DEP011,2025-06-19,Equipment,Bùi Và Hoàng Công Ty Hợp Danh,Chưa vậy nhưng dưới.,212560000,Rejected,Bank Transfer
EXP0000059,DEP010,2022-12-11,Utilities,Phạm Công Ty Cổ Phần,Hoặc hơn đó vậy mà.,22884000,Rejected,Corporate Card
EXP0000060,DEP011,2023-12-30,Equipment,Đặng Và Bùi Công Ty Trách Nhiệm Hữu Hạn,Vẫn giữa sẽ từ nhưng vì.,199457000,Pending,Bank Transfer
EXP0000061,DEP016,2025-06-01,Office Supplies,Đặng Công Ty Trách Nhiệm Hữu Hạn,Giống bạn nào cách bên vậy của tôi.,16420000,Pending,Bank Transfer
EXP0000062,DEP013,2024-12-09,Scholarship,Mai Và Đối Tác Tập Đoàn,Nhiều cách tại vài trong như đã dưới.,142106000,Rejected,Cash
EXP0000063,DEP004,2025-02-23,Utilities,Phạm Công Ty Hợp Danh,Vậy với đã đến như mỗi bên.,45644000,Pending,Bank Transfer
EXP0000064,DEP005,2024-02-29,Equipment,Dương Và Phạm Công Ty Tnhh Mtv,Các điều trong thế.,249836000,Pending,Bank Transfer
EXP0000065,DEP012,2022-07-07,Utilities,Bùi Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Thế giống như mà tự chỉ.,22049000,Pending,Bank Transfer
EXP0000066,DEP003,2025-01-23,Scholarship,Lê Và Dương Doanh Nghiệp Tư Nhân,Nhưng để vì được các tự theo.,256426000,Pending,Corporate Card
EXP0000067,DEP002,2025-03-11,Scholarship,Nguyễn Công Ty Cổ Phần,Trong cũng với vì thay đang như đó để.,242322000,Approved,Corporate Card
EXP0000068,DEP001,2023-07-05,Utilities,Hoàng Và Đối Tác Doanh Nghiệp Tư Nhân,Trong của của nơi giống số.,80377000,Pending,Cash
EXP0000069,DEP019,2023-12-31,Research,Mai Và Nguyễn Công Ty Tnhh,Hơn đến sau có trong mỗi không.,405483000,Pending,Corporate Card
EXP0000070,DEP001,2022-08-03,Marketing,Dương Và Vũ Công Ty Hợp Danh,Đã thì từ tại nào thì gần.,19490000,Rejected,Corporate Card
EXP0000071,DEP017,2022-05-16,Scholarship,Phạm Vũ Tập Đoàn,Vẫn cái lớn mỗi được vài nhưng.,104835000,Pending,Cash
EXP0000072,DEP019,2022-07-30,Research,Nguyễn Mai Công Ty Trách Nhiệm Hữu Hạn,Hơn cho để nếu đã vẫn chỉ bên.,380511000,Approved,Bank Transfer
EXP0000073,DEP017,2022-11-14,Utilities,Vũ Công Ty Tnhh,Và đúng tự khiến để có dưới theo.,93854000,Approved,Corporate Card
EXP0000074,DEP003,2024-03-06,Research,Lê Và Đối Tác Công Ty Hợp Danh,Đã vẫn khiến đi.,421464000,Rejected,Bank Transfer
EXP0000075,DEP007,2025-07-27,Marketing,Nguyễn Công Ty Trách Nhiệm Hữu Hạn,Như đi nếu nào cho nơi tại dưới.,167474000,Pending,Corporate Card
EXP0000076,DEP006,2024-02-03,Maintenance,Hoàng Đặng Công Ty Trách Nhiệm Hữu Hạn,Đi trong được từ bên như nơi.,61963000,Rejected,Corporate Card
EXP0000077,DEP009,2024-03-03,Salary,Phạm Và Trần Công Ty Hợp Danh,Nhiều đang tại trong từng người về này.,331260000,Pending,Cash
EXP0000078,DEP013,2025-09-27,Research,Nguyễn Phạm Công Ty Cổ Phần,Thì nào để đã từ.,102282000,Pending,Bank Transfer
EXP0000079,DEP019,2023-04-30,Scholarship,Dương Công Ty Trách Nhiệm Hữu Hạn,Không nào mỗi này bên.,294274000,Pending,Bank Transfer
EXP0000080,DEP005,2026-06-10,Maintenance,Vũ Doanh Nghiệp Tư Nhân,Là như đến từ với như với hơn người.,27220000,Rejected,Cash
EXP0000081,DEP011,2022-11-22,Office Supplies,Dương Mai Công Ty Cổ Phần,Gần như làm chỉ đi từ lớn của.,17493000,Approved,Corporate Card
EXP0000082,DEP020,2025-06-28,Utilities,Mai Và Trần Công Ty Trách Nhiệm Hữu Hạn,Hoặc đang và dưới.,25452000,Approved,Bank Transfer
EXP0000083,DEP013,2025-03-13,Research,Vũ Và Mai Công Ty Tnhh Mtv,Thì cũng để nhiều.,369666000,Approved,Cash
EXP0000084,DEP005,2025-05-15,Salary,Lê Và Bùi Công Ty Trách Nhiệm Hữu Hạn,Trong cũng nào thay.,305273000,Pending,Corporate Card
EXP0000085,DEP003,2024-07-22,Office Supplies,Bùi Và Trần Công Ty Hợp Danh,Để thay nhiều nào bạn sẽ từ cũng số.,28468000,Rejected,Corporate Card
EXP0000086,DEP007,2024-02-14,Equipment,Đặng Và Bùi Tập Đoàn,Chưa sau thì đúng đúng mà chỉ nhưng.,243588000,Pending,Bank Transfer
EXP0000087,DEP009,2026-01-02,Scholarship,Trần Và Lê Công Ty Cổ Phần,Của như gần cái trong làm tự.,132458000,Pending,Corporate Card
EXP0000088,DEP018,2024-07-11,Office Supplies,Vũ Công Ty Cổ Phần,Vì tôi tôi nào.,18828000,Rejected,Cash
EXP0000089,DEP018,2024-09-12,Scholarship,Hoàng Công Ty Tnhh Mtv,Chỉ nào để đi giống.,248827000,Approved,Cash
EXP0000090,DEP018,2022-08-07,Utilities,Hoàng Công Ty Tnhh Mtv,Nơi với hoặc đã gần giữa từng.,7585000,Rejected,Cash
EXP0000091,DEP013,2022-03-06,Utilities,Trần Và Vũ Công Ty Cổ Phần,Tại nơi dưới rất.,32943000,Pending,Cash
EXP0000092,DEP006,2024-09-30,Maintenance,Bùi Và Đối Tác Doanh Nghiệp Tư Nhân,Nhiều có vài với dưới đi tại.,10321000,Pending,Bank Transfer
EXP0000093,DEP013,2022-03-19,Equipment,Vũ Trần Công Ty Hợp Danh,Tại chưa người như vẫn trong khi của.,346766000,Rejected,Cash
EXP0000094,DEP005,2022-02-18,Scholarship,Lê Và Lê Công Ty Cổ Phần,Chỉ để thì của nơi để mỗi mà điều.,201916000,Rejected,Cash
EXP0000095,DEP007,2022-06-27,Salary,Bùi Và Đối Tác Công Ty Cổ Phần,Hơn tự tại về sau sẽ mà.,842496000,Rejected,Bank Transfer
EXP0000096,DEP019,2022-06-18,Office Supplies,Phạm Tập Đoàn,Như đúng đang điều làm khiến giống chỉ khiến.,21843000,Rejected,Cash
EXP0000097,DEP006,2022-05-17,Scholarship,Lê Công Ty Trách Nhiệm Hữu Hạn,Giống điều hơn như dưới.,183057000,Pending,Corporate Card
EXP0000098,DEP020,2023-07-28,Marketing,Nguyễn Và Đối Tác Doanh Nghiệp Tư Nhân,Để chưa trong được đến tại.,74603000,Pending,Corporate Card
EXP0000099,DEP020,2025-05-04,Office Supplies,Hoàng Công Ty Cổ Phần,Vậy nào hơn theo là.,8085000,Approved,Bank Transfer
EXP0000100,DEP012,2025-12-27,Maintenance,Phạm Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Như thế người nào mà nhiều.,104069000,Rejected,Corporate Card
EXP0000101,DEP009,2022-09-19,Office Supplies,Bùi Dương Công Ty Tnhh,Từng số cách cho nhiều khi chưa hơn.,13136000,Approved,Bank Transfer
EXP0000102,DEP018,2025-05-31,Equipment,Trần Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Gần làm để từ điều cũng.,346555000,Pending,Bank Transfer
EXP0000103,DEP010,2022-10-11,Equipment,Hoàng Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Được bạn theo từ từ.,223701000,Pending,Corporate Card
EXP0000104,DEP018,2024-06-28,Scholarship,Dương Công Ty Tnhh,Thay từ giữa trong bạn chỉ.,74970000,Rejected,Bank Transfer
EXP0000105,DEP012,2024-05-25,Maintenance,Nguyễn Và Đối Tác Doanh Nghiệp Tư Nhân,Sẽ người giống sẽ nhiều đó vì các.,62823000,Approved,Corporate Card
EXP0000106,DEP007,2025-09-03,Utilities,Dương Và Đối Tác Công Ty Cổ Phần,Khiến cũng như để vậy nhưng cũng để chỉ.,42785000,Rejected,Cash
EXP0000107,DEP015,2022-04-25,Salary,Dương Doanh Nghiệp Tư Nhân,Mà được khiến nơi nhưng.,643546000,Rejected,Bank Transfer
EXP0000108,DEP012,2025-11-22,Utilities,Trần Công Ty Tnhh,Có để tại đang từ bạn nhưng hơn làm.,40191000,Rejected,Cash
EXP0000109,DEP008,2026-04-20,Utilities,Phạm Và Nguyễn Công Ty Tnhh Mtv,Lớn vì thì như thế hơn.,47667000,Pending,Corporate Card
EXP0000110,DEP002,2024-02-05,Scholarship,Hoàng Công Ty Cổ Phần,Được có lớn hơn.,225259000,Approved,Bank Transfer
EXP0000111,DEP017,2025-03-26,Maintenance,Đặng Và Trần Công Ty Trách Nhiệm Hữu Hạn,Hoặc là vẫn nhiều tại cái như thay.,62366000,Approved,Cash
EXP0000112,DEP016,2025-05-01,Research,Vũ Và Nguyễn Công Ty Hợp Danh,Khiến thì mỗi theo với một.,313751000,Pending,Bank Transfer
EXP0000113,DEP020,2024-09-13,Equipment,Hoàng Và Đối Tác Công Ty Cổ Phần,Tôi có khi một như rất sẽ.,293453000,Rejected,Corporate Card
EXP0000114,DEP010,2022-05-14,Equipment,Bùi Công Ty Hợp Danh,Tại có khi của thì dưới nơi.,184580000,Approved,Cash
EXP0000115,DEP018,2026-01-21,Maintenance,Đặng Và Đối Tác Tập Đoàn,Hơn đúng theo cái từ số.,24053000,Approved,Bank Transfer
EXP0000116,DEP012,2024-07-04,Office Supplies,Mai Và Đối Tác Doanh Nghiệp Tư Nhân,Từng của gần không khi cách nào.,25542000,Rejected,Corporate Card
EXP0000117,DEP013,2022-09-15,Salary,Trần Vũ Công Ty Trách Nhiệm Hữu Hạn,Tự làm bạn bên làm vẫn có.,274809000,Pending,Cash
EXP0000118,DEP013,2024-10-29,Research,Đặng Và Đối Tác Doanh Nghiệp Tư Nhân,Từng thế nếu hơn về tôi thay vẫn.,163094000,Rejected,Bank Transfer
EXP0000119,DEP012,2025-03-06,Marketing,Dương Tập Đoàn,Như có nào một nhưng chưa số theo.,50678000,Rejected,Bank Transfer
EXP0000120,DEP020,2022-11-02,Office Supplies,Đặng Công Ty Hợp Danh,Số mà với thế đúng đúng.,14454000,Approved,Bank Transfer
EXP0000121,DEP016,2024-06-19,Marketing,Lê Và Dương Công Ty Tnhh,Rất đúng hơn mà với như sẽ từ đã.,74471000,Approved,Bank Transfer
EXP0000122,DEP008,2026-03-04,Utilities,Bùi Và Đối Tác Tập Đoàn,Tại như trong thế được vì này cũng.,52941000,Rejected,Cash
EXP0000123,DEP012,2026-02-27,Equipment,Phạm Và Đối Tác Công Ty Tnhh Mtv,Đó từ hoặc nhiều vài chưa mà.,237030000,Rejected,Bank Transfer
EXP0000124,DEP010,2025-01-02,Scholarship,Mai Đặng Công Ty Tnhh,Cách đã cho thì từng đã chưa.,277166000,Pending,Cash
EXP0000125,DEP005,2023-09-08,Research,Mai Công Ty Tnhh Mtv,Chỉ cho thế gần có.,134361000,Pending,Corporate Card
EXP0000126,DEP003,2025-10-19,Utilities,Dương Và Dương Công Ty Tnhh Mtv,Có trong cũng của như trong tự để.,29478000,Rejected,Corporate Card
EXP0000127,DEP008,2023-10-05,Office Supplies,Vũ Và Đối Tác Tập Đoàn,Cái theo hơn bạn sẽ nào từ dưới điều.,6468000,Rejected,Bank Transfer
EXP0000128,DEP004,2023-08-21,Utilities,Dương Doanh Nghiệp Tư Nhân,Từ cái nào giống có có hoặc gần có.,70553000,Pending,Bank Transfer
EXP0000129,DEP005,2023-08-03,Maintenance,Vũ Và Nguyễn Doanh Nghiệp Tư Nhân,Điều của mà thì được đang không nếu.,103768000,Pending,Bank Transfer
EXP0000130,DEP012,2024-02-26,Research,Lê Và Bùi Tập Đoàn,Bạn khiến được của này đang đang.,470830000,Approved,Cash
EXP0000131,DEP012,2026-06-21,Scholarship,Trần Và Lê Công Ty Tnhh,Theo để cũng vẫn khiến vì gần cái.,160249000,Approved,Corporate Card
EXP0000132,DEP002,2025-04-27,Salary,Trần Dương Doanh Nghiệp Tư Nhân,Đi bạn số đến cho nhiều dưới và.,897356000,Rejected,Corporate Card
EXP0000133,DEP006,2023-08-12,Utilities,Nguyễn Tập Đoàn,Cũng rất hoặc như tại cũng này vài đúng.,93403000,Rejected,Corporate Card
EXP0000134,DEP017,2023-03-31,Salary,Mai Mai Công Ty Tnhh,Cũng và thế theo.,845735000,Pending,Corporate Card
EXP0000135,DEP008,2026-04-18,Research,Hoàng Và Bùi Doanh Nghiệp Tư Nhân,Đang đi như khiến tại tại như vậy về.,130498000,Rejected,Cash
EXP0000136,DEP012,2026-05-18,Office Supplies,Phạm Và Phạm Công Ty Trách Nhiệm Hữu Hạn,Vài sau để làm.,9898000,Rejected,Corporate Card
EXP0000137,DEP009,2025-11-18,Maintenance,Mai Và Đối Tác Công Ty Cổ Phần,Của tại cũng các thế với.,117036000,Approved,Bank Transfer
EXP0000138,DEP005,2023-05-11,Office Supplies,Mai Và Đối Tác Công Ty Hợp Danh,Cũng gần tự một các thế.,23063000,Approved,Corporate Card
EXP0000139,DEP019,2026-02-02,Salary,Hoàng Hoàng Công Ty Tnhh Mtv,Nào dưới rất cái và tự có.,511281000,Approved,Cash
EXP0000140,DEP010,2022-08-15,Office Supplies,Trần Trần Doanh Nghiệp Tư Nhân,Thay trong với vẫn.,22096000,Rejected,Bank Transfer
EXP0000141,DEP005,2024-05-08,Office Supplies,Vũ Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Làm thì dưới giống là.,24738000,Rejected,Cash
EXP0000142,DEP005,2022-06-09,Marketing,Dương Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Được như lớn là như sau với bạn trong.,10302000,Rejected,Bank Transfer
EXP0000143,DEP008,2025-01-20,Equipment,Nguyễn Doanh Nghiệp Tư Nhân,Thế nhiều và thay nhưng đến có.,277963000,Rejected,Corporate Card
EXP0000144,DEP012,2025-03-10,Research,Nguyễn Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,Tại chưa trong nếu cách có số tự của.,307915000,Approved,Cash
EXP0000145,DEP011,2024-10-20,Marketing,Nguyễn Đặng Công Ty Hợp Danh,Của để đang để giữa.,107050000,Rejected,Cash
EXP0000146,DEP010,2025-11-23,Marketing,Mai Và Đối Tác Công Ty Cổ Phần,Được đó không nhiều.,140799000,Pending,Bank Transfer
EXP0000147,DEP009,2024-01-01,Utilities,Phạm Và Đối Tác Công Ty Cổ Phần,Được cũng thay hoặc thế bên bên.,64922000,Rejected,Bank Transfer
EXP0000148,DEP019,2026-05-31,Office Supplies,Trần Và Đối Tác Công Ty Tnhh,Chưa mỗi một chỉ nhưng số.,24223000,Pending,Bank Transfer
EXP0000149,DEP001,2025-09-18,Marketing,Vũ Và Lê Công Ty Tnhh Mtv,Nhiều từng các thì.,169412000,Pending,Corporate Card
EXP0000150,DEP004,2026-01-09,Maintenance,Nguyễn Tập Đoàn,Có đó đang cái vài nào là từ.,46819000,Approved,Bank Transfer
EXP0000151,DEP015,2026-06-18,Marketing,Lê Doanh Nghiệp Tư Nhân,Với vẫn tôi bên tôi nhưng tại.,106487000,Approved,Cash
EXP0000152,DEP014,2022-05-29,Scholarship,Nguyễn Lê Doanh Nghiệp Tư Nhân,Cách giữa rất nhưng như.,7606000,Pending,Bank Transfer
EXP0000153,DEP005,2022-08-21,Marketing,Nguyễn Doanh Nghiệp Tư Nhân,Trong vài đi đến đi bên cũng thế sẽ.,107384000,Rejected,Corporate Card
EXP0000154,DEP001,2023-09-11,Office Supplies,Vũ Lê Doanh Nghiệp Tư Nhân,Là sau từ gần được với giống.,3452000,Rejected,Cash
EXP0000155,DEP007,2022-12-28,Office Supplies,Lê Doanh Nghiệp Tư Nhân,Nếu có một người thay.,25491000,Rejected,Cash
EXP0000156,DEP017,2024-11-23,Office Supplies,Phạm Và Đặng Công Ty Cổ Phần,Vậy vì người làm vẫn vài hơn lớn.,23231000,Approved,Cash
EXP0000157,DEP007,2024-08-15,Maintenance,Vũ Và Đối Tác Công Ty Tnhh Mtv,Giống với như nhưng hoặc đi đúng.,3154000,Approved,Bank Transfer
EXP0000158,DEP012,2024-01-09,Salary,Mai Và Bùi Công Ty Tnhh Mtv,Tại như nơi với cái vài mà vẫn vẫn.,664410000,Approved,Corporate Card
EXP0000159,DEP006,2022-08-08,Marketing,Lê Và Mai Công Ty Tnhh,Nếu để nhưng khi có.,122712000,Rejected,Corporate Card
EXP0000160,DEP010,2025-11-22,Scholarship,Trần Lê Tập Đoàn,Khiến tại trong khi tại chỉ mà.,114811000,Pending,Bank Transfer
EXP0000161,DEP003,2022-11-05,Research,Phạm Và Lê Tập Đoàn,Nơi cũng từ sau như hơn của lớn.,259060000,Approved,Bank Transfer
EXP0000162,DEP017,2022-08-27,Scholarship,Bùi Bùi Công Ty Cổ Phần,Thì người chưa như sẽ theo chỉ.,206032000,Rejected,Corporate Card
EXP0000163,DEP009,2025-11-17,Research,Phạm Công Ty Cổ Phần,Đó từng từ theo.,305304000,Approved,Cash
EXP0000164,DEP020,2025-05-08,Maintenance,Phạm Công Ty Tnhh Mtv,Để số mỗi để với này chỉ mỗi.,17165000,Rejected,Bank Transfer
EXP0000165,DEP019,2025-10-28,Utilities,Mai Phạm Công Ty Cổ Phần,Của khi là hơn từ các đúng.,49370000,Pending,Cash
EXP0000166,DEP013,2022-11-06,Research,Nguyễn Và Phạm Công Ty Tnhh,Sau tại gần mỗi bên khi đúng.,198390000,Pending,Corporate Card
EXP0000167,DEP014,2024-12-15,Maintenance,Vũ Tập Đoàn,Sau từ tại một bạn đi tại.,134865000,Pending,Corporate Card
EXP0000168,DEP020,2022-07-04,Salary,Vũ Và Đối Tác Tập Đoàn,Cách tại lớn hoặc gần tự.,651419000,Approved,Corporate Card
EXP0000169,DEP003,2025-08-08,Marketing,Hoàng Và Bùi Tập Đoàn,Đã sẽ vì có.,10546000,Approved,Bank Transfer
EXP0000170,DEP005,2026-05-12,Office Supplies,Bùi Và Mai Công Ty Cổ Phần,Cũng tại với như rất.,23362000,Rejected,Corporate Card
EXP0000171,DEP001,2024-03-31,Scholarship,Mai Đặng Doanh Nghiệp Tư Nhân,Đúng lớn này vẫn như.,23054000,Approved,Bank Transfer
EXP0000172,DEP020,2022-11-06,Maintenance,Bùi Dương Công Ty Cổ Phần,Không nhưng sẽ với của lớn làm.,126399000,Approved,Corporate Card
EXP0000173,DEP011,2025-11-06,Maintenance,Bùi Công Ty Tnhh Mtv,Với với khi có về với này của.,42993000,Pending,Corporate Card
EXP0000174,DEP007,2022-12-05,Office Supplies,Bùi Và Phạm Công Ty Tnhh Mtv,Tại cũng người lớn theo.,3616000,Rejected,Corporate Card
EXP0000175,DEP001,2025-07-05,Research,Bùi Và Đối Tác Công Ty Tnhh,Cách của bên có thì.,47615000,Rejected,Bank Transfer
