Invoice_ID,Student_ID,Semester,Academic_Year,Invoice_Date,Due_Date,Tuition_Fee,Scholarship_Amount,Late_Fee,Total_Amount,Invoice_Status
INV0000075,STU000742,HK1,2022-2023,2022-05-20,2022-07-14,23447000,0,0,23447000,Partially Paid
INV0000076,STU000950,HK2,2023-2024,2023-06-16,2023-07-13,21634000,0,0,21634000,Issued
INV0000077,STU000952,HK1,2024-2025,2024-08-11,2024-09-12,30509000,0,0,30509000,Issued
INV0000078,STU000807,HK Hè,2025-2026,2025-07-28,2025-09-21,24362000,6090000,1014000,19286000,Partially Paid
INV0000079,STU000723,HK2,2023-2024,2023-02-26,2023-03-18,13168000,3292000,0,9876000,Overdue
INV0000080,STU001404,HK1,2027-2028,2027-10-10,2027-12-07,17757000,4439000,1190000,14508000,Issued
INV0000081,STU000793,HK2,2027-2028,2027-06-26,2027-07-17,25428000,2543000,0,22885000,Overdue
INV0000082,STU000352,HK1,2028-2029,2028-06-06,2028-07-01,32771000,0,324000,33095000,Paid
INV0000083,STU000028,HK2,2023-2024,2023-11-10,2023-12-12,21785000,5446000,0,16339000,Issued
INV0000084,STU000842,HK1,2024-2025,2024-02-20,2024-04-03,17385000,4346000,0,13039000,Partially Paid
INV0000085,STU000190,HK1,2026-2027,15/02/2026,2026-04-07,22413000,2241000,0,20172000,Overdue
INV0000086,STU001063,HK Hè,2026-2027,2026-06-03,05/07/2026,20500000,0,0,20500000,Overdue
INV0000087,STU000791,HK Hè,2027-2028,2027-02-17,2027-04-03,26904000,13452000,0,13452000,Issued
INV0000088,STU000456,HK1,2024-2025,2024-11-08,2024-12-10,34135000,8534000,0,25601000,Issued
INV0000089,STU001218,HK1,2020-2021,2020-08-18,2020-09-25,24304000,0,0,24304000,Issued
INV0000090,STU001314,HK1,2022-2023,2022-07-14,2022-08-23,32184000,0,0,32184000,Paid
INV0000091,STU000801,HK2,2022-2023,2022-10-07,2022-12-03,18521000,9260000,0,9261000,Paid
INV0000092,STU000109,HK2,2023-2024,2023-08-18,2023-09-12,33937000,8484000,0,25453000,Paid
INV0000093,STU000570,HK Hè,2027-2028,2027-02-02,2027-03-21,33103000,3310000,0,31964000,Partially Paid
INV0000094,STU000861,HK Hè,2027-2028,2027-01-25,2027-03-05,30830000,3083000,0,27747000,Issued
INV0000095,STU000060,HK1,2023-2024,2023-05-06,2023-06-23,17021000,8510000,0,8511000,Issued
INV0000096,STU000564,HK1,2025-2026,2025-04-15,2025-06-09,14399000,3600000,0,10799000,Issued
INV0000097,STU000120,HK2,2027-2028,2027-11-03,2027-12-23,13403000,0,0,13403000,Paid
INV0000098,STU000951,HK Hè,2028-2029,2028-01-25,2028-02-26,26465000,0,0,26465000,Overdue
INV0000099,STU001485,HK Hè,2023-2024,2023-10-20,2023-11-17,15466000,0,0,15466000,Partially Paid
INV0000100,STU001408,HK1,2021-2022,2021-03-09,2021-05-05,17200000,0,0,17200000,Issued
INV0000101,STU000353,HK2,2019-2020,2019-08-14,2019-09-22,20581000,2058000,0,18523000,Paid
INV0000102,STU000691,HK1,2025-2026,2025-07-12,2025-08-22,17627000,0,908000,18535000,Overdue
INV0000103,STU000558,HK2,2026-2027,2026-05-05,2026-06-17,20401000,10200000,0,10201000,Issued
INV0000104,STU000047,HK1,2024-2025,2024-12-24,2025-01-30,20895000,0,0,20895000,Paid
INV0000105,STU000748,HK2,2022-2023,2022-03-21,2022-04-20,25026000,0,0,25026000,Issued
INV0000106,STU000801,HK Hè,2024-2025,2024-02-07,2024-03-25,17859000,4465000,0,13394000,Overdue
INV0000107,STU001063,HK2,2027-2028,2027-05-27,2027-06-19,34912000,8728000,0,26184000,Issued
INV0000108,STU000632,HK Hè,2025-2026,2025-05-15,2025-06-15,25280000,0,0,25280000,Issued
INV0000109,STU000379,HK1,2023-2024,2023-01-21,2023-03-10,11778000,0,1451000,14380000,Overdue
INV0000110,STU000325,HK1,2020-2021,2020-03-20,2020-04-28,16453000,0,1259000,17712000,Overdue
INV0000111,STU000349,HK2,2026-2027,2026-07-13,2026-09-07,12533000,0,1224000,13757000,Overdue
INV0000112,STU000301,HK1,2024-2025,2024-04-26,2024-06-07,18977000,9488000,0,9489000,Partially Paid
INV0000113,STU000684,HK1,2020-2021,2020-09-10,2020-10-10,12174000,1217000,0,10957000,Partially Paid
INV0000114,STU001173,HK Hè,2025-2026,2025-05-26,2025-07-22,17094000,0,898000,21539000,Partially Paid
INV0000115,STU000400,HK1,2025-2026,2025-08-30,2025-10-06,24942000,0,0,24942000,Paid
INV0000116,STU001337,HK2,2022-2023,2022-03-14,2022-04-08,19597000,1960000,1209000,18846000,Partially Paid
INV0000117,STU000817,HK Hè,2026-2027,2026-08-29,2026-10-12,32847000,0,0,32847000,Paid
INV0000118,STU001490,HK2,2023-2024,2023-09-06,2023-10-29,33237000,8309000,0,24928000,Overdue
INV0000119,STU000283,HK2,2026-2027,2026-03-19,2026-04-17,24508000,0,1470000,25978000,Overdue
INV0000120,STU000144,HK2,2020-2021,25/12/2020,2021-02-21,11990000,5995000,0,5995000,Overdue
INV0000121,STU001297,HK2,2024-2025,2024-01-13,2024-02-19,14330000,7165000,610000,7775000,Overdue
INV0000122,STU001481,HK1,2026-2027,2026-04-15,2026-05-19,30462000,0,0,30462000,Paid
INV0000123,STU000818,HK1,2027-2028,2027-11-25,2027-12-16,31801000,15900000,0,15901000,Overdue
INV0000124,STU000561,HK2,2024-2025,2024-09-04,04/10/2024,30898000,0,0,30898000,Issued
INV0000125,STU001329,HK2,2024-2025,2024-02-11,2024-04-08,20757000,2076000,0,18681000,Overdue
INV0000126,STU001177,HK1,2027-2028,2027-04-15,2027-05-22,29617000,0,0,29617000,Issued
INV0000127,STU001255,HK1,2024-2025,2024-11-19,2024-12-22,23105000,0,0,23105000,Paid
INV0000128,STU001455,HK1,2026-2027,2026-06-07,2026-07-15,24123000,12062000,0,12061000,Paid
INV0000129,STU001390,HK1,2024-2025,2024-12-07,2025-01-29,34638000,0,0,34638000,Issued
INV0000130,STU000909,HK Hè,2026-2027,2026-05-13,2026-06-21,10540000,2635000,0,7905000,Paid
INV0000131,STU000406,HK1,2021-2022,2021-06-16,2021-07-22,14854000,0,0,14854000,Overdue
INV0000132,STU000420,HK2,2023-2024,2023-11-25,2024-01-07,10498000,0,0,10498000,Issued
INV0000133,STU001087,HK Hè,2023-2024,2023-08-18,2023-10-09,29226000,2923000,943000,27246000,Paid
INV0000134,STU000676,HK2,2025-2026,2025-01-31,2025-03-30,14356000,7178000,0,7178000,Overdue
INV0000135,STU001018,HK2,2026-2027,2026-10-17,2026-11-25,19523000,9762000,0,9761000,Issued
INV0000136,STU000708,HK2,2023-2024,2023-03-06,2023-04-16,15902000,0,765000,16667000,Issued
INV0000137,STU000592,HK Hè,2024-2025,2024-11-15,2024-12-16,24992000,0,0,24992000,Paid
INV0000138,STU000852,HK Hè,2025-2026,2025-08-14,2025-09-15,28365000,2836000,0,25529000,Issued
INV0000139,STU000810,HK1,2024-2025,2024-01-16,2024-02-05,15397000,0,0,15397000,Partially Paid
INV0000140,STU000772,HK Hè,2026-2027,2026-08-15,2026-09-27,17180000,0,0,17180000,Issued
INV0000141,STU000608,HK1,2023-2024,2023-05-30,2023-07-06,29443000,0,649000,30092000,Partially Paid
INV0000142,STU000851,HK2,2022-2023,2022-02-02,2022-03-28,34717000,0,0,34717000,Overdue
INV0000143,STU000761,HK Hè,2020-2021,2020-11-29,2020-12-21,28389000,7097000,0,21292000,Paid
INV0000144,STU000884,HK Hè,2024-2025,2024-01-01,2024-02-14,18930000,9465000,0,9465000,Partially Paid
INV0000145,STU001254,HK Hè,2021-2022,2021-06-11,2021-07-23,11679000,0,0,11679000,Paid
INV0000146,STU000840,HK Hè,2024-2025,2024-03-06,2024-04-30,12877000,0,1486000,14363000,Paid
INV0000147,STU000237,HK1,2025-2026,2025-03-09,2025-04-13,8840000,4420000,0,4420000,Partially Paid
INV0000148,STU000858,HK1,2023-2024,2023-08-12,2023-09-21,25265000,12632000,0,12633000,Issued
INV0000149,STU001182,HK Hè,2028-2029,2028-02-12,2028-03-13,16215000,0,0,16215000,Partially Paid
INV0000150,STU001126,HK Hè,2022-2023,2022-11-30,2023-01-28,10933000,0,0,10933000,Partially Paid
INV0000151,STU001437,HK1,2023-2024,2023-01-11,2023-02-18,24749000,0,0,24749000,Paid
INV0000152,STU000753,HK Hè,2025-2026,2025-12-09,2026-01-18,11934000,1193000,0,10741000,Overdue
INV0000153,STU000692,HK2,2024-2025,2024-01-12,2024-03-04,17274000,8637000,0,8637000,Partially Paid
INV0000154,STU001194,HK2,2023-2024,2023-01-18,2023-03-18,13522000,0,0,13522000,Overdue
INV0000155,STU001328,HK1,2023-2024,2023-03-11,2023-04-09,22279000,0,1021000,23300000,Overdue
INV0000156,STU000791,HK Hè,2024-2025,2024-07-29,2024-09-23,25593000,6398000,0,19195000,Overdue
INV0000157,STU000955,HK1,2027-2028,2027-09-05,2027-10-02,28200000,0,0,28200000,Partially Paid
INV0000158,STU000010,HK2,2028-2029,2028-07-04,2028-09-01,30826000,3083000,0,27743000,Issued
INV0000159,STU000873,HK2,2025-2026,2025-04-22,2025-05-31,18726000,9363000,0,9363000,Partially Paid
INV0000160,STU001488,HK1,2021-2022,2021-09-24,2021-10-16,30804000,0,577000,31381000,Partially Paid
INV0000161,STU001033,HK Hè,2021-2022,2021-11-06,2021-12-03,12125000,0,1498000,13623000,Partially Paid
INV0000162,STU000023,HK1,2026-2027,2026-09-09,2026-10-23,14208000,0,0,14208000,Paid
INV0000163,STU000584,HK Hè,2024-2025,2024-07-04,2024-08-06,9484000,0,0,9484000,Issued
INV0000164,STU001067,HK2,2024-2025,2024-04-19,2024-05-24,8397000,2099000,0,6298000,Overdue
INV0000165,STU000474,HK1,2020-2021,2020-08-20,2020-10-02,31773000,15886000,0,15887000,Issued
INV0000166,STU001228,HK Hè,2022-2023,2022-07-09,2022-08-21,14605000,7302000,1428000,8731000,Issued
INV0000167,STU000143,HK Hè,2025-2026,2025-09-15,2025-11-14,9695000,4848000,0,4847000,Issued
INV0000168,STU000379,HK1,2023-2024,2023-05-28,2023-07-24,29162000,14581000,0,14581000,Overdue
INV0000169,STU001295,HK1,2026-2027,2026-05-23,2026-06-24,8079000,2020000,0,6059000,Overdue
INV0000170,STU000911,HK Hè,2029-2030,2029-08-20,2029-10-19,29159000,0,0,29159000,Overdue
INV0000171,STU000558,HK2,2023-2024,2023-09-16,2023-10-12,32949000,0,0,32949000,Paid
INV0000172,STU000428,HK Hè,2027-2028,2027-07-10,2027-08-05,13900000,0,0,13900000,Issued
INV0000173,STU000542,HK2,2023-2024,2023-05-08,2023-06-08,18453000,0,135000,18588000,Paid
INV0000174,STU001415,HK2,2026-2027,2026-11-24,2027-01-03,11187000,0,1399000,12586000,Issued
INV0000175,STU001225,HK Hè,2025-2026,2025-09-09,2025-10-29,30308000,0,144000,30452000,Overdue
INV0000176,STU001159,HK2,2025-2026,2025-11-21,2025-12-25,34435000,3444000,911000,31902000,Paid
INV0000177,STU000044,HK Hè,2022-2023,2022-10-11,2022-11-03,15717000,0,0,15717000,Issued
INV0000178,STU000090,HK Hè,2028-2029,2028-12-17,2029-01-17,15990000,0,1221000,17211000,Paid
INV0000179,STU000643,HK2,2027-2028,2027-08-05,2027-08-29,19027000,0,716000,19743000,Paid
INV0000180,STU000619,HK1,2029-2030,2029-02-10,2029-03-10,21100000,0,1307000,22407000,Paid
INV0000181,STU000897,HK1,2024-2025,2024-01-06,2024-02-28,30082000,7520000,0,22562000,Paid
INV0000182,STU001036,HK2,2026-2027,2026-02-04,2026-03-30,16159000,0,1392000,17551000,Paid
INV0000183,STU001212,HK Hè,2024-2025,2024-08-09,2024-09-16,23749000,0,0,23749000,Paid
INV0000184,STU001415,HK1,2025-2026,2025-06-23,2025-08-04,12721000,1272000,0,11449000,Issued
INV0000185,STU001423,HK1,2022-2023,2022-04-14,2022-05-21,18952000,0,0,18952000,Partially Paid
INV0000186,STU000197,HK Hè,2025-2026,2025-06-15,2025-07-22,14521000,7260000,0,7261000,Issued
INV0000187,STU001169,HK1,2027-2028,2027-02-11,2027-03-09,26701000,0,0,26701000,Overdue
INV0000188,STU001182,HK Hè,2026-2027,2026-10-28,2026-12-15,25772000,0,1009000,26781000,Overdue
INV0000189,STU001357,HK1,2023-2024,2023-06-26,05/08/2023,13520000,6760000,0,6760000,Partially Paid
INV0000190,STU000297,HK1,2022-2023,22/05/2022,2022-07-12,19524000,0,1477000,21001000,Overdue
INV0000191,STU000931,HK2,2025-2026,2025-05-29,2025-07-17,32715000,0,124000,32839000,Paid
INV0000192,STU000653,HK2,2026-2027,2026-09-17,2026-11-14,12358000,6179000,1066000,7245000,Issued
INV0000193,STU000853,HK Hè,2024-2025,2024-12-18,2025-01-15,10195000,1020000,0,9175000,Partially Paid
INV0000194,STU000527,HK1,2022-2023,2022-04-18,2022-05-16,34965000,8741000,0,26224000,Issued
INV0000195,STU001179,HK1,2022-2023,2022-09-05,2022-09-26,29310000,2931000,0,26379000,Overdue
INV0000196,STU000114,HK1,2025-2026,2025-01-19,2025-02-10,15141000,1514000,0,13627000,Overdue
INV0000197,STU001123,HK1,2029-2030,2029-01-09,2029-02-17,11053000,0,0,11053000,Partially Paid
INV0000198,STU000783,HK Hè,2025-2026,2025-05-05,2025-06-14,11919000,0,1115000,13034000,Issued
INV0000199,STU001088,HK2,2022-2023,2022-07-27,2022-09-19,31803000,3180000,210000,28833000,Partially Paid
INV0000200,STU001227,HK1,2028-2029,2028-02-16,2028-03-12,34929000,0,0,34929000,Issued
INV0000201,STU001428,HK1,2025-2026,2025-02-05,2025-03-16,17933000,0,0,17933000,Paid
INV0000202,STU000824,HK2,2024-2025,2024-11-28,2025-01-25,16264000,0,0,16264000,Overdue
INV0000203,STU001330,HK Hè,2026-2027,2026-11-01,2026-12-09,30109000,7527000,0,22582000,Paid
INV0000204,STU001038,HK2,2024-2025,2024-05-26,2024-06-17,20171000,0,845000,21016000,Paid
INV0000205,STU000040,HK Hè,2024-2025,09/05/2024,2024-06-09,33771000,8443000,0,25328000,Overdue
INV0000206,STU000809,HK2,2026-2027,2026-06-24,2026-08-20,19067000,0,0,19067000,Issued
INV0000207,STU001040,HK2,2028-2029,2028-03-11,2028-04-11,34800000,17400000,0,17400000,Paid
INV0000208,STU000485,HK1,2022-2023,2022-06-23,2022-07-18,9210000,4605000,0,4605000,Partially Paid
INV0000209,STU001389,HK Hè,2026-2027,2026-02-22,2026-03-31,25382000,0,0,25382000,Paid
INV0000210,STU000169,HK2,2024-2025,2024-08-10,2024-09-01,17625000,4406000,0,13219000,Overdue
INV0000211,STU001435,HK Hè,2027-2028,2027-04-01,2027-04-30,22326000,2233000,0,20093000,Overdue
INV0000212,STU000044,HK Hè,2022-2023,2022-09-04,2022-10-13,28885000,0,0,28885000,Issued
INV0000213,STU000257,HK2,2026-2027,2026-02-25,2026-04-04,29931000,7483000,0,22448000,Paid
INV0000214,STU001368,HK1,2028-2029,2028-03-10,2028-05-02,25235000,0,0,25235000,Paid
INV0000215,STU000674,HK Hè,2027-2028,2027-03-09,2027-04-06,12838000,3210000,0,9628000,Issued
INV0000216,STU000923,HK Hè,2020-2021,2020-12-16,2021-01-08,21041000,10520000,708000,11229000,Overdue
INV0000217,STU001352,HK1,2022-2023,2022-09-05,2022-10-21,15657000,1566000,0,14091000,Issued
INV0000218,STU000735,HK Hè,2027-2028,2027-09-24,2027-11-09,33997000,0,0,33997000,Paid
INV0000219,STU000150,HK2,2029-2030,2029-04-06,2029-05-23,24958000,6240000,0,18718000,Partially Paid
INV0000220,STU000742,HK1,2023-2024,2023-05-04,2023-06-25,20531000,2053000,0,18478000,Partially Paid
INV0000221,STU000638,HK2,2025-2026,2025-11-17,2026-01-14,26840000,2684000,0,24156000,Paid
INV0000222,STU001350,HK1,2025-2026,2025-10-03,2025-11-15,33346000,16673000,0,16673000,Paid
INV0000223,STU001444,HK2,2021-2022,2021-12-21,2022-02-03,22336000,0,387000,22723000,Partially Paid
INV0000224,STU000208,HK1,2022-2023,2022-06-25,2022-08-11,24754000,12377000,0,12377000,Partially Paid
INV0000225,STU000796,HK Hè,2022-2023,2022-04-29,2022-06-09,9506000,4753000,0,4753000,Paid
INV0000226,STU001156,HK1,2029-2030,2029-02-19,2029-03-17,29097000,0,0,29097000,Overdue
INV0000227,STU000282,HK1,2025-2026,2025-05-20,2025-07-10,27026000,0,0,27026000,Issued
INV0000228,STU001338,HK2,2021-2022,2021-06-08,2021-07-17,13064000,0,0,13064000,Issued
INV0000229,STU000976,HK Hè,2027-2028,2027-02-13,2027-03-08,30329000,0,1109000,31438000,Paid
INV0000230,STU001012,HK1,2026-2027,2026-01-28,2026-02-21,31678000,3168000,1101000,29611000,Partially Paid
INV0000231,STU000539,HK Hè,2028-2029,2028-03-13,2028-04-03,31846000,3185000,0,28661000,Partially Paid
INV0000232,STU000070,HK Hè,2021-2022,2021-03-23,2021-05-13,15308000,3827000,0,11481000,Overdue
INV0000233,STU001010,HK2,2026-2027,2026-07-23,2026-08-16,33578000,0,0,33578000,Issued
INV0000234,STU001217,HK1,2024-2025,2024-04-27,2024-05-21,25088000,6272000,0,18816000,Issued
INV0000235,STU000395,HK2,2024-2025,2024-12-31,2025-02-27,29335000,0,0,29335000,Overdue
INV0000236,STU000655,HK Hè,2023-2024,2023-05-05,2023-06-02,24302000,0,172000,24474000,Partially Paid
INV0000237,STU000600,HK2,2022-2023,2022-12-13,2023-01-23,16323000,1632000,0,14691000,Partially Paid
INV0000238,STU000822,HK2,2023-2024,2023-12-16,2024-01-28,27099000,0,0,27099000,Issued
INV0000239,STU000902,HK Hè,2026-2027,2026-01-07,2026-02-04,12991000,3248000,0,9743000,Overdue
INV0000240,STU000255,HK2,2026-2027,2026-09-23,2026-10-26,20194000,2019000,0,18175000,Overdue
INV0000241,STU000166,HK2,2024-2025,2024-09-06,2024-11-04,18753000,1875000,0,16878000,Overdue
INV0000242,STU000821,HK Hè,2025-2026,2025-02-11,2025-04-09,27200000,0,469000,27669000,Partially Paid
INV0000243,STU000150,HK1,2029-2030,2029-08-18,2029-09-30,23977000,0,0,23977000,Overdue
INV0000244,STU000554,HK1,2023-2024,2023-04-09,2023-05-03,31547000,0,0,31547000,Paid
INV0000245,STU001375,HK Hè,2028-2029,2028-05-12,2028-06-09,30941000,3094000,863000,28710000,Partially Paid
INV0000246,STU000019,HK2,2028-2029,2028-02-24,2028-04-17,8642000,0,0,8642000,Issued
INV0000247,STU000512,HK2,2026-2027,2026-08-22,2026-09-24,33282000,16641000,0,16641000,Overdue
INV0000248,STU000555,HK Hè,2022-2023,2022-06-25,2022-07-26,30142000,0,1078000,31220000,Issued
INV0000249,STU000932,HK Hè,2027-2028,2027-07-25,2027-08-16,20865000,5216000,0,15649000,Issued
INV0000250,STU001412,HK2,2025-2026,2025-07-30,2025-09-12,30540000,7635000,0,22905000,Partially Paid
INV0000251,STU000374,HK Hè,2024-2025,2024-12-10,2025-01-25,22305000,0,0,22305000,Paid
INV0000252,STU001134,HK1,2026-2027,2026-12-11,2027-01-11,32369000,8092000,0,24277000,Paid
INV0000253,STU000330,HK1,2022-2023,2022-08-17,2022-10-09,19282000,1928000,0,17354000,Overdue
INV0000254,STU001418,HK Hè,2024-2025,2024-10-22,2024-11-21,32982000,0,0,32982000,Paid
INV0000255,STU001021,HK2,2025-2026,2025-11-16,2025-12-10,19404000,1940000,452000,17916000,Paid
INV0000256,STU000917,HK2,2021-2022,2021-12-04,2022-01-16,29103000,14552000,0,14551000,Issued
