Payment_ID,Invoice_ID,Student_ID,Payment_Date,Payment_Method,Amount_Paid,Transaction_Reference,Payment_Status
PAY0000098,INV0000380,STU000077,2026-07-06,Card,8016000,TXN-18281640SW,Pending
PAY0000099,INV0001372,STU000687,2024-01-01,Card,3112000,TXN-66052074FY,Successful
PAY0000100,INV0001428,STU000969,2025-09-09,Bank Transfer,4645000,TXN-66592713YV,Failed
PAY0000101,INV0001798,STU000499,2022-11-26,Card,30853000,TXN-25336901SD,Successful
PAY0000102,INV0000095,STU000060,2023-07-01,Bank Transfer,8001000,TXN-63875075QY,Successful
PAY0000103,INV0001918,STU000036,2022-12-14,Bank Transfer,6314000,TXN-88937023OW,Pending
PAY0000104,INV0001001,STU000498,2021-01-24,Card,12132000,TXN-11082579OX,Successful
PAY0000105,INV0002044,STU001204,2023-03-03,Bank Transfer,7312000,TXN-55261223EY,Successful
PAY0000106,INV0000379,STU001022,2029-02-24,Bank Transfer,25131000,TXN-78292934YC,Successful
PAY0000107,INV0000995,STU001425,2023-07-06,E-Wallet,6457000,TXN-05393045UQ,Failed
PAY0000108,INV0001957,STU001211,2025-02-05,Cash,7442000,TXN-87867592AQ,Successful
PAY0000109,INV0002460,STU001162,2021-01-11,Cash,5645000,TXN-38952868OY,Successful
PAY0000110,INV0002018,STU000143,2027-12-11,Card,8738000,TXN-93336516SB,Successful
PAY0000111,INV0002930,STU000437,2024-11-02,Bank Transfer,14665000,TXN-41177616RT,Successful
PAY0000112,INV0001664,STU000761,2022-01-27,Bank Transfer,23089000,TXN-54260477YN,Successful
PAY0000113,INV0001201,STU000548,10/10/2027,Card,8018000,TXN-40107122SK,Successful
PAY0000114,INV0001557,STU001050,2022-08-10,E-Wallet,7063000,TXN-01044574GO,Failed
PAY0000115,INV0002694,STU001350,2026-10-06,Bank Transfer,4399000,TXN-02174333OM,Successful
PAY0000116,INV0001194,STU001170,2022-08-03,E-Wallet,6216000,TXN-99728527DL,Successful
PAY0000117,INV0001329,STU000340,2025-12-02,Bank Transfer,11472000,TXN-09612540SW,Successful
PAY0000118,INV0002389,STU000340,2026-04-05,Card,8756000,TXN-68915118WW,Successful
PAY0000119,INV0002416,STU001029,2025-12-24,E-Wallet,28333000,TXN-33303763WD,Successful
PAY0000120,INV0000603,STU000056,2026-04-22,E-Wallet,6810000,TXN-16092853WF,Pending
PAY0000121,INV0000460,STU000747,2027-08-18,Bank Transfer,26458000,TXN-70305989LZ,Successful
PAY0000122,INV0001576,STU001117,2024-08-05,E-Wallet,13176000,TXN-01512755FD,Successful
PAY0000123,INV0002273,STU000855,2020-08-03,Card,3690000,TXN-35059576IY,Successful
PAY0000124,INV0001712,STU000095,2025-06-12,E-Wallet,8929000,TXN-61361060BE,Successful
PAY0000125,INV0001563,STU001206,2025-09-21,Card,23097000,TXN-99610252KA,Successful
PAY0000126,INV0001267,STU000387,2024-05-24,Bank Transfer,75029000,TXN-60164929EV,Successful
PAY0000127,INV0001313,STU000053,2024-06-24,Card,7351000,TXN-07215658JP,Successful
PAY0000128,INV0002735,STU000304,2027-01-16,Bank Transfer,19218000,TXN-85517138DJ,Successful
PAY0000129,INV0000194,STU000527,2022-05-25,Bank Transfer,18398000,TXN-54731930TU,Successful
PAY0000130,INV0001189,STU000766,2024-12-26,Card,28832000,TXN-14388998NT,Successful
PAY0000131,INV0001650,STU000045,2027-11-16,Bank Transfer,10084000,TXN-51328678YN,Successful
PAY0000132,INV0002493,STU000491,2024-03-18,Bank Transfer,13095000,TXN-86885243VF,Successful
PAY0000133,INV0000582,STU000742,2022-08-06,E-Wallet,19551000,TXN-61807817XU,Successful
PAY0000134,INV0000303,STU000618,2026-04-23,Cash,16770000,TXN-59376748PA,Successful
PAY0000135,INV0001217,STU000094,26/06/2025,E-Wallet,22727000,TXN-48452688FE,Failed
PAY0000136,INV0002040,STU000386,2021-09-23,E-Wallet,12259000,TXN-35048735LB,Successful
PAY0000137,INV0002247,STU001035,2026-10-20,E-Wallet,13662000,TXN-94020338NY,Failed
PAY0000138,INV0002598,STU000631,2021-05-30,Card,7430000,TXN-00424429RE,Successful
PAY0000139,INV0002554,STU000676,2022-06-26,Cash,4879000,TXN-64486685UQ,Successful
PAY0000140,INV0000087,STU000791,2027-03-16,Cash,4541000,TXN-48123817MB,Successful
PAY0000141,INV0001861,STU000771,2024-06-02,Card,16639000,TXN-47667433AT,Successful
PAY0000142,INV0000981,STU000602,2028-07-06,Cash,7630000,TXN-16365903HX,Successful
PAY0000143,INV0000396,STU001365,2026-04-04,Cash,57028000,TXN-76952366PN,Successful
PAY0000144,INV0002203,STU000448,2022-05-01,E-Wallet,17253000,TXN-51470201BU,Successful
PAY0000145,INV0000848,STU000249,2028-04-17,Bank Transfer,3509000,TXN-53416084UD,Successful
PAY0000146,INV0002838,STU000929,2024-04-30,Cash,9923000,TXN-16024236IU,Successful
PAY0000147,INV0000012,STU000976,2029-12-18,Cash,19042000,TXN-31476640EB,Successful
PAY0000148,INV0001654,STU000269,2026-06-19,Cash,5898000,TXN-37779425WD,Successful
PAY0000149,INV0001540,STU000704,07/08/2021,E-Wallet,4131000,TXN-99949956YO,Pending
PAY0000150,INV0001295,STU000697,2024-07-14,Bank Transfer,6486000,TXN-01508580AR,Successful
PAY0000151,INV0001772,STU000986,2022-09-10,Cash,7953000,TXN-57718203CL,Successful
PAY0000152,INV0000722,STU000735,2028-02-19,E-Wallet,15108000,TXN-17841788DD,Reversed
PAY0000153,INV0002290,STU000514,2026-06-25,Cash,19838000,TXN-97080046NH,Successful
PAY0000154,INV0000367,STU000433,2025-05-02,Cash,15801000,TXN-05670172YX,Failed
PAY0000155,INV0002256,STU000329,2029-05-27,E-Wallet,8364000,TXN-80573418BX,Successful
PAY0000156,INV0002832,STU000146,2025-01-10,Bank Transfer,7809000,TXN-76837059OB,Successful
PAY0000157,INV0001621,STU000652,2026-06-16,Bank Transfer,10412000,TXN-50953008CJ,Successful
PAY0000158,INV0001240,STU001143,2027-03-05,E-Wallet,5531000,TXN-98882809QS,Successful
PAY0000159,INV0002106,STU000512,2027-07-16,Cash,7544000,TXN-17823689FR,Successful
PAY0000160,INV0000374,STU000452,2023-04-18,E-Wallet,9309000,TXN-92816043XW,Pending
PAY0000161,INV0001130,STU000680,2024-01-06,Cash,16726000,TXN-61556455QM,Successful
PAY0000162,INV0000272,STU000043,2021-06-28,Bank Transfer,4516000,TXN-73366679FJ,Successful
PAY0000163,INV0002386,STU000962,2023-02-27,Bank Transfer,10867000,TXN-97584486WM,Successful
PAY0000164,INV0000057,STU000393,2027-03-15,Cash,8842000,TXN-95203957KR,Successful
PAY0000165,INV0002083,STU001016,2025-06-05,Bank Transfer,3415000,TXN-12258646AV,Successful
PAY0000166,INV0000076,STU000950,2023-06-18,Card,20833000,TXN-21430722KT,Failed
PAY0000167,INV0001314,STU001235,2023-10-02,Card,7364000,TXN-25957162AX,Successful
PAY0000168,INV0000167,STU000143,2025-11-20,Cash,2297000,TXN-81110165PS,Successful
PAY0000169,INV0000291,STU000440,2025-06-21,Bank Transfer,14597000,TXN-65797206HV,Failed
PAY0000170,INV0002202,STU001410,2023-04-14,Cash,25956000,TXN-12422637TO,Successful
PAY0000171,INV0000782,STU000990,2030-02-25,Cash,28896000,TXN-09834788VH,Successful
PAY0000172,INV0001266,STU000311,2024-03-19,E-Wallet,6140000,TXN-78545990BV,Pending
PAY0000173,INV0001453,STU001085,2026-07-31,E-Wallet,10838000,TXN-12992604HJ,Successful
PAY0000174,INV0002186,STU001168,2025-04-05,Card,9230000,TXN-26458861NU,Successful
PAY0000175,INV0002568,STU000110,2020-09-04,E-Wallet,24385000,TXN-53543337QA,Successful
PAY0000176,INV0002362,STU001377,27/01/2026,Bank Transfer,17857000,TXN-30478367XL,Successful
PAY0000177,INV0001366,STU001360,2023-08-07,Bank Transfer,5265000,TXN-66758197HT,Successful
PAY0000178,INV0001602,STU000053,2021-08-14,Cash,3556000,TXN-15088294WP,Successful
PAY0000179,INV0000026,STU000942,2021-01-01,Card,13176000,TXN-44053722EI,Successful
PAY0000180,INV0001260,STU000574,2023-08-07,Bank Transfer,5406000,TXN-64971846CJ,Successful
PAY0000181,INV0002492,STU001044,2025-10-23,Card,24461000,TXN-22308692GU,Successful
PAY0000182,INV0000757,STU000871,23/11/2028,Card,9742000,TXN-92838987LD,Successful
PAY0000183,INV0000271,STU000803,2023-12-12,Card,11600000,TXN-11713999JS,Successful
PAY0000184,INV0001962,STU001349,2024-03-20,E-Wallet,16926000,TXN-83454312OG,Successful
PAY0000185,INV0002831,STU000810,2022-09-09,Cash,11848000,TXN-12422453RL,Successful
PAY0000186,INV0002033,STU000451,2022-11-01,Cash,26086000,TXN-41668356IZ,Successful
PAY0000187,INV0001493,STU000878,2028-02-28,Card,2966000,TXN-30106014DS,Successful
PAY0000188,INV0002676,STU000754,28/03/2026,Bank Transfer,13853000,TXN-06471540RV,Failed
PAY0000189,INV0001271,STU001297,,E-Wallet,6474000,TXN-44513218LT,Pending
PAY0000190,INV0001677,STU000514,2030-01-18,Card,15046000,TXN-28748093RX,Failed
PAY0000191,INV0000819,STU000210,2020-07-03,Bank Transfer,5933000,TXN-46320298BA,Successful
PAY0000192,INV0000086,STU001063,2026-06-11,Cash,14237000,TXN-17065579DA,Successful
PAY0000193,INV0000015,STU000425,2021-04-12,E-Wallet,5805000,TXN-36809736HO,Successful
PAY0000194,INV0000769,STU001275,2023-07-31,Cash,16129000,TXN-63041133CS,Successful
PAY0000195,INV0000576,STU000028,2028-01-09,Card,20083000,TXN-50168593CX,Failed
PAY0000196,INV0000149,STU001182,22/04/2028,E-Wallet,12657000,TXN-26281748WJ,Successful
PAY0000197,INV0002056,STU000362,2028-02-21,E-Wallet,8780000,TXN-99119087KL,Successful
PAY0000198,INV0000785,STU000502,2025-05-19,E-Wallet,24560000,TXN-60745460VT,Successful
PAY0000199,INV0001651,STU001184,2026-06-04,Card,8735000,TXN-70179557JJ,Successful
PAY0000200,INV0000318,STU000343,2022-02-20,Card,27103000,TXN-84270488ID,Successful
PAY0000201,INV0001789,STU000883,2026-05-07,E-Wallet,23984000,TXN-40052423DL,Successful
PAY0000202,INV0001351,STU000908,2024-01-08,Card,15351000,TXN-42173521TJ,Successful
PAY0000203,INV0002033,STU000451,2022-10-29,E-Wallet,16539000,TXN-30397968FC,Successful
PAY0000204,INV0001488,STU001218,2024-12-22,E-Wallet,11033000,TXN-45192760TI,Successful
PAY0000205,INV0002135,STU000186,2027-12-13,Cash,16177000,TXN-39382238KU,Successful
PAY0000206,INV0000253,STU000330,2022-09-25,Bank Transfer,6835000,TXN-48208783BP,Successful
PAY0000207,INV0002182,STU000313,2021-04-06,Card,4303000,TXN-64474121IN,Successful
PAY0000208,INV0000617,STU000064,2025-12-28,Card,14938000,TXN-32943395RF,Successful
PAY0000209,INV0002013,STU000317,2021-06-23,Card,12131000,TXN-29994449HF,Successful
PAY0000210,INV0000641,STU001388,2026-07-03,E-Wallet,22424000,TXN-57592458RL,Successful
PAY0000211,INV0001653,STU000911,2029-09-14,Cash,7618000,TXN-69969401LC,Successful
PAY0000212,INV0002233,STU001351,2023-11-26,E-Wallet,21470000,TXN-42646986HY,Failed
PAY0000213,INV0001960,STU000702,2023-05-17,Cash,13734000,TXN-38281345OP,Reversed
PAY0000214,INV0002754,STU001099,2027-05-23,Bank Transfer,9710000,TXN-47669066PX,Successful
PAY0000215,INV0002073,STU000513,2024-08-08,Bank Transfer,12512000,TXN-64068589AN,Successful
PAY0000216,INV0002478,STU000914,2026-05-16,Bank Transfer,20350000,TXN-28976814VG,Successful
PAY0000217,INV0001786,STU000019,2027-09-04,Card,26643000,TXN-11526950IB,Successful
PAY0000218,INV0002902,STU000842,2022-03-14,Card,7859000,TXN-20945784EC,Successful
PAY0000219,INV0002511,STU000613,,Card,10946000,TXN-93509369OD,Successful
PAY0000220,INV0000770,STU000953,2026-06-09,Bank Transfer,8704000,TXN-21805382VD,Successful
PAY0000221,INV0001859,STU000126,2024-11-26,Bank Transfer,5735000,TXN-29048361DC,Pending
PAY0000222,INV0000010,STU000117,2025-07-06,E-Wallet,26598000,TXN-13540036HO,Successful
PAY0000223,INV0001690,STU001280,2025-12-15,Card,3348000,TXN-61538155UH,Successful
PAY0000224,INV0002009,STU000579,2022-05-04,Card,2756000,TXN-71228507ZB,Successful
PAY0000225,INV0002865,STU001410,2024-09-01,Cash,8816000,TXN-74049316HM,Successful
PAY0000226,INV0001387,STU000112,2024-07-11,Bank Transfer,4145000,TXN-54906609XA,Successful
PAY0000227,INV0000476,STU001054,2026-12-08,Cash,14624000,TXN-25998464XV,Pending
PAY0000228,INV0001507,STU000964,2026-01-21,Bank Transfer,13309000,TXN-00603630QS,Successful
PAY0000229,INV0001900,STU000542,2024-07-15,Card,20371000,TXN-94145470GF,Successful
PAY0000230,INV0001058,STU000904,2027-03-30,Card,4654000,TXN-78370358ZG,Successful
PAY0000231,INV0001401,STU000016,2022-06-14,Cash,19449000,TXN-61346739DU,Successful
PAY0000232,INV0001753,STU000618,2023-09-21,Card,5417000,TXN-64169987XT,Successful
PAY0000233,INV0001973,STU000977,2023-05-18,Bank Transfer,13205000,TXN-84909606FW,Successful
PAY0000234,INV0001728,STU001251,2022-03-31,Card,4214000,TXN-24809369HF,Successful
PAY0000235,INV0002682,STU000198,2023-03-19,Bank Transfer,9068000,TXN-53289133UU,Successful
PAY0000236,INV0000064,STU000260,2024-01-19,Cash,10190000,TXN-22218934DD,Successful
PAY0000237,INV0000510,STU000105,2027-10-15,E-Wallet,21340000,TXN-94883364VE,Successful
PAY0000238,INV0002615,STU000816,2022-02-20,Card,6311000,TXN-95982487VO,Successful
PAY0000239,INV0001013,STU001331,2022-12-01,Card,6305000,TXN-30028989KK,Successful
PAY0000240,INV0000376,STU000009,2024-03-08,E-Wallet,13830000,TXN-46247030GG,Successful
PAY0000241,INV0000154,STU001194,2023-03-24,Bank Transfer,5071000,TXN-34244997OT,Successful
PAY0000242,INV0002644,STU000945,2026-03-26,E-Wallet,22378000,TXN-67276947YI,Successful
PAY0000243,INV0000916,STU000579,2025-03-23,E-Wallet,10420000,TXN-31387907RO,Successful
PAY0000244,INV0001143,STU000514,2026-02-07,Bank Transfer,11503000,TXN-15132397WF,Successful
PAY0000245,INV0001819,STU000235,2024-08-10,Card,9830000,TXN-47155621ID,Successful
PAY0000246,INV0002921,STU000076,2022-06-15,Card,7330000,TXN-20547864YT,Pending
PAY0000247,INV0002292,STU000729,2023-05-12,Cash,5482000,TXN-58265024VC,Successful
PAY0000248,INV0002079,STU000835,2022-07-25,Card,24830000,TXN-83709982CS,Successful
PAY0000249,INV0000737,STU001095,2024-10-22,Bank Transfer,12440000,TXN-43638663ZB,Successful
PAY0000250,INV0000392,STU000516,2023-03-29,Bank Transfer,9542000,TXN-92083806BZ,Successful
PAY0000251,INV0000537,STU000306,2023-10-28,Card,15144000,TXN-00035306ED,Successful
PAY0000252,INV0002618,STU000885,2026-05-09,Cash,7950000,TXN-05975392TM,Successful
PAY0000253,INV0000667,STU000127,2025-10-19,Cash,12002000,TXN-18424507VK,Successful
PAY0000254,INV0002453,STU000162,2022-08-23,Bank Transfer,17182000,TXN-28612305VG,Successful
PAY0000255,INV0002744,STU000558,2027-02-11,Bank Transfer,30341000,TXN-80900207MZ,Successful
PAY0000256,INV0001173,STU001456,2024-12-17,Card,22447000,TXN-36213453JL,Reversed
PAY0000257,INV0000266,STU000428,2028-07-14,E-Wallet,9333000,TXN-31608700VL,Successful
PAY0000258,INV0001549,STU001111,2021-12-11,Cash,11087000,TXN-39646618UM,Successful
PAY0000259,INV0000334,STU000838,2021-10-16,E-Wallet,9931000,TXN-05161735FU,Successful
PAY0000260,INV0002887,STU000331,2023-05-30,Cash,33632000,TXN-15174285YS,Successful
PAY0000261,INV0000230,STU001012,2026-04-30,Card,24756000,TXN-18975861SK,Successful
PAY0000262,INV0002789,STU000885,2025-09-14,Card,5258000,TXN-34710486AI,Successful
PAY0000263,INV0002381,STU001142,2022-12-20,Card,7275000,TXN-23171160HC,Successful
PAY0000264,INV0001096,STU000805,2024-12-07,Bank Transfer,25677000,TXN-23069089XT,Successful
PAY0000265,INV0001006,STU000501,2025-10-01,Bank Transfer,25488000,TXN-43209737EF,Successful
PAY0000266,INV0001131,STU001244,2022-07-22,E-Wallet,7463000,TXN-66748608VA,Successful
PAY0000267,INV0001126,STU001082,2025-08-16,E-Wallet,7068000,TXN-63461464UG,Successful
PAY0000268,INV0000486,STU001420,2028-02-02,Card,11552000,TXN-07098855YX,Successful
PAY0000269,INV0002440,STU000211,2029-09-30,Cash,21494000,TXN-01355801WA,Successful
PAY0000270,INV0002808,STU000536,2023-01-17,Cash,6544000,TXN-88668635SP,Successful
PAY0000271,INV0002882,STU000393,2027-03-14,Card,6141000,TXN-25262923EM,Reversed
PAY0000272,INV0000781,STU000988,2022-05-18,Bank Transfer,8608000,TXN-42989350CK,Successful
PAY0000273,INV0000677,STU001076,28/07/2023,Cash,16623000,TXN-54890788SM,Successful
PAY0000274,INV0002705,STU000734,2025-07-22,Cash,8548000,TXN-38575005HY,Successful
PAY0000275,INV0000146,STU000840,2024-03-24,Card,7662000,TXN-35626431IM,Successful
PAY0000276,INV0000730,STU000931,2025-10-20,Card,14438000,TXN-53653145WP,Successful
PAY0000277,INV0001758,STU001263,2027-05-09,Card,12415000,TXN-09241517VC,Successful
PAY0000278,INV0001834,STU001377,2027-05-22,E-Wallet,13146000,TXN-65701536LP,Successful
PAY0000279,INV0001668,STU001463,2022-09-30,E-Wallet,8356000,TXN-42369549DX,Successful
PAY0000280,INV0000108,STU000632,2025-08-03,Card,16499000,TXN-01640191RF,Successful
PAY0000281,INV0002233,STU001351,2023-11-19,Cash,17390000,TXN-66704255RC,Pending
PAY0000282,INV0002437,STU000528,2023-12-31,Cash,19540000,TXN-17492078TX,Successful
PAY0000283,INV0001749,STU000068,2021-11-12,Cash,5526000,TXN-99882661RK,Successful
PAY0000284,INV0002106,STU000512,2027-06-22,Bank Transfer,7994000,TXN-03616759XA,Successful
PAY0000285,INV0001846,STU001438,2024-02-28,Cash,12846000,TXN-73925583XJ,Successful
PAY0000286,INV0002269,STU000574,2026-11-14,Cash,12532000,TXN-52297359TY,Successful
